# ICODE=1735357040, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.238187 -----------------
#dely    BF
0.050  0.4058  0.0029
0.150  0.3454  0.0025
0.250  0.3243  0.0025
0.350  0.2639  0.0021
0.450  0.2443  0.0021
0.550  0.1955  0.0017
0.650  0.1568  0.0015
0.750  0.1518  0.0016
0.850  0.0974  0.0011
0.950  0.0782  0.0010
1.050  0.0438  0.0006
1.150  0.0279  0.0004
1.250  0.0224  0.0004
1.350  0.0124  0.0002
1.450  0.0089  0.0002
1.550  0.0051  0.0001
1.650 -0.0015 -0.0001
1.750 -0.0007 -0.0000
