# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0790099 -----------------
#dely    BF
0.050 -0.0685 -0.0001
0.150 -0.0663 -0.0001
0.250 -0.0613 -0.0001
0.350 -0.0593 -0.0001
0.450 -0.0565 -0.0001
0.550 -0.0547 -0.0001
0.650 -0.0561 -0.0001
0.750 -0.0501 -0.0001
0.850 -0.0530 -0.0001
0.950 -0.0502 -0.0001
1.050 -0.0473 -0.0001
1.150 -0.0415 -0.0001
1.250 -0.0378 -0.0001
1.350 -0.0322 -0.0001
1.450 -0.0245 -0.0001
1.550 -0.0175 -0.0001
1.650 -0.0100 -0.0001
1.750 -0.0035 -0.0000
