# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.155479 -----------------
#dely    BF
0.050  0.2818  0.0018
0.150  0.2552  0.0017
0.250  0.2285  0.0016
0.350  0.1790  0.0013
0.450  0.1621  0.0013
0.550  0.1383  0.0012
0.650  0.1112  0.0010
0.750  0.0812  0.0008
0.850  0.0485  0.0005
0.950  0.0346  0.0004
1.050  0.0197  0.0003
1.150  0.0151  0.0002
1.250 -0.0005 -0.0000
1.350  0.0002  0.0000
1.450 -0.0005 -0.0000
1.550 -0.0011 -0.0000
1.650  0.0023  0.0001
1.750 -0.0010 -0.0001
