# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=500000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.240016 -----------------
#dely    BF
0.050  0.3457  0.0013
0.150  0.3281  0.0013
0.250  0.2968  0.0012
0.350  0.2726  0.0012
0.450  0.2390  0.0011
0.550  0.2096  0.0010
0.650  0.1690  0.0009
0.750  0.1448  0.0008
0.850  0.1101  0.0007
0.950  0.0902  0.0006
1.050  0.0700  0.0005
1.150  0.0552  0.0005
1.250  0.0273  0.0003
1.350  0.0224  0.0003
1.450  0.0123  0.0002
1.550  0.0060  0.0001
1.650  0.0012  0.0000
1.750 -0.0002 -0.0000
