# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0236605 -----------------
#dely    BF
0.050 -0.0244 -0.0025
0.150 -0.0369 -0.0036
0.250 -0.0267 -0.0029
0.350 -0.0208 -0.0025
0.450 -0.0197 -0.0023
0.550 -0.0145 -0.0019
0.650 -0.0227 -0.0030
0.750 -0.0182 -0.0028
0.850 -0.0167 -0.0026
0.950 -0.0120 -0.0022
1.050 -0.0143 -0.0029
1.150 -0.0061 -0.0016
1.250 -0.0033 -0.0010
1.350  0.0000  0.0000
1.450 -0.0005 -0.0003
1.550  0.0003  0.0003
1.650  0.0000  0.0000
1.750  0.0000  0.0000
