# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0438311 -----------------
#dely    BF    dB     BFVar
0.050 -0.1345 -0.0001  0.0033
0.150 -0.1202 -0.0001  0.0032
0.250 -0.1050 -0.0001  0.0029
0.350 -0.0853 -0.0000  0.0045
0.450 -0.0648 -0.0000  0.0038
0.550 -0.0437 -0.0000  0.0027
0.650 -0.0248 -0.0000  0.0030
0.750 -0.0114 -0.0000  0.0015
0.850  0.0031  0.0000  0.0016
0.950  0.0126  0.0000  0.0014
1.050  0.0192  0.0000  0.0012
1.150  0.0225  0.0000  0.0012
1.250  0.0236  0.0000  0.0009
1.350  0.0223  0.0000  0.0009
1.450  0.0195  0.0000  0.0010
1.550  0.0152  0.0000  0.0013
1.650  0.0100  0.0000  0.0006
1.750  0.0034  0.0000  0.0003
