# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0318376 -----------------
#dely    BF    dB     BFVar
0.050 -0.0090 -0.0000  0.0026
0.150  0.0034  0.0000  0.0033
0.250  0.0158  0.0001  0.0020
0.350  0.0317  0.0001  0.0023
0.450  0.0420  0.0002  0.0023
0.550  0.0485  0.0002  0.0023
0.650  0.0477  0.0002  0.0022
0.750  0.0412  0.0002  0.0017
0.850  0.0341  0.0002  0.0009
0.950  0.0257  0.0002  0.0009
1.050  0.0176  0.0002  0.0008
1.150  0.0109  0.0001  0.0010
1.250  0.0053  0.0001  0.0005
1.350  0.0025  0.0000  0.0003
1.450  0.0008  0.0000  0.0001
1.550  0.0001  0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
