# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0761869 -----------------
#dely    BF    dB     BFVar
0.050 -0.1093 -0.0005  0.0033
0.150 -0.1049 -0.0005  0.0022
0.250 -0.0966 -0.0005  0.0047
0.350 -0.0869 -0.0004  0.0013
0.450 -0.0776 -0.0004  0.0020
0.550 -0.0675 -0.0004  0.0024
0.650 -0.0572 -0.0003  0.0018
0.750 -0.0465 -0.0003  0.0009
0.850 -0.0377 -0.0003  0.0010
0.950 -0.0293 -0.0002  0.0009
1.050 -0.0209 -0.0002  0.0020
1.150 -0.0138 -0.0002  0.0005
1.250 -0.0078 -0.0001  0.0003
1.350 -0.0041 -0.0001  0.0004
1.450 -0.0016 -0.0000  0.0003
1.550 -0.0003 -0.0000  0.0001
1.650 -0.0000 -0.0000  0.0000
1.750  0.0000  0.0000  0.0000
