# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.00704936 -----------------
#dely    BF    dB     BFVar
0.050  0.0121  0.0000  0.0014
0.150  0.0102  0.0000  0.0018
0.250  0.0087  0.0000  0.0017
0.350  0.0067  0.0000  0.0010
0.450  0.0056  0.0000  0.0010
0.550  0.0038  0.0000  0.0011
0.650  0.0042  0.0000  0.0010
0.750  0.0041  0.0000  0.0004
0.850  0.0037  0.0000  0.0005
0.950  0.0036  0.0000  0.0007
1.050  0.0029  0.0000  0.0007
1.150  0.0018  0.0000  0.0004
1.250  0.0015  0.0000  0.0003
1.350  0.0011  0.0000  0.0002
1.450  0.0004  0.0000  0.0001
1.550  0.0001  0.0000  0.0001
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
