# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.302462 -----------------
#dely    BF    dB     BFVar
0.050  0.4242  0.0002  0.0032
0.150  0.3944  0.0002  0.0038
0.250  0.3650  0.0002  0.0024
0.350  0.3321  0.0002  0.0027
0.450  0.2971  0.0002  0.0032
0.550  0.2599  0.0001  0.0020
0.650  0.2212  0.0001  0.0046
0.750  0.1864  0.0001  0.0020
0.850  0.1505  0.0001  0.0011
0.950  0.1202  0.0001  0.0019
1.050  0.0908  0.0001  0.0015
1.150  0.0667  0.0001  0.0048
1.250  0.0471  0.0001  0.0009
1.350  0.0317  0.0000  0.0007
1.450  0.0199  0.0000  0.0014
1.550  0.0110  0.0000  0.0010
1.650  0.0052  0.0000  0.0002
1.750  0.0013  0.0000  0.0001
