# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=10000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.198079 -----------------
#dely    BF
0.050  0.3872  0.0003
0.150  0.3529  0.0003
0.250  0.3078  0.0003
0.350  0.2605  0.0002
0.450  0.2123  0.0002
0.550  0.1626  0.0002
0.650  0.1209  0.0001
0.750  0.0819  0.0001
0.850  0.0538  0.0001
0.950  0.0294  0.0000
1.050  0.0150  0.0000
1.150  0.0052  0.0000
1.250 -0.0005 -0.0000
1.350 -0.0028 -0.0000
1.450 -0.0024 -0.0000
1.550 -0.0021 -0.0000
1.650 -0.0009 -0.0000
1.750 -0.0001 -0.0000
