# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0211588 -----------------
#dely    BF
0.050 -0.1283 -0.0007
0.150 -0.1083 -0.0006
0.250 -0.0785 -0.0005
0.350 -0.0455 -0.0003
0.450 -0.0196 -0.0002
0.550  0.0008  0.0000
0.650  0.0179  0.0002
0.750  0.0305  0.0003
0.850  0.0311  0.0004
0.950  0.0290  0.0005
1.050  0.0231  0.0004
1.150  0.0167  0.0004
1.250  0.0106  0.0003
1.350  0.0059  0.0002
1.450  0.0024  0.0001
1.550  0.0006  0.0001
1.650  0.0000  0.0000
1.750  0.0000  0.0000
