# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.280705 -----------------
#dely    BF
0.050  0.5135  0.0005
0.150  0.4617  0.0005
0.250  0.4116  0.0004
0.350  0.3541  0.0004
0.450  0.2893  0.0003
0.550  0.2277  0.0003
0.650  0.1754  0.0002
0.750  0.1315  0.0002
0.850  0.0964  0.0002
0.950  0.0635  0.0001
1.050  0.0411  0.0001
1.150  0.0229  0.0001
1.250  0.0127  0.0000
1.350  0.0059  0.0000
1.450  0.0025  0.0000
1.550 -0.0003 -0.0000
1.650 -0.0016 -0.0000
1.750 -0.0009 -0.0000
