# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.260449 -----------------
#dely    BF
0.050  0.4879  0.0006
0.150  0.4489  0.0005
0.250  0.3901  0.0005
0.350  0.3304  0.0004
0.450  0.2745  0.0004
0.550  0.2152  0.0003
0.650  0.1628  0.0003
0.750  0.1184  0.0002
0.850  0.0808  0.0002
0.950  0.0510  0.0001
1.050  0.0304  0.0001
1.150  0.0141  0.0000
1.250  0.0062  0.0000
1.350 -0.0002 -0.0000
1.450 -0.0023 -0.0000
1.550 -0.0021 -0.0000
1.650 -0.0015 -0.0000
1.750 -0.0002 -0.0000
