# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.109642 -----------------
#dely    BF
0.050 -0.1211 -0.0001
0.150 -0.1165 -0.0001
0.250 -0.1075 -0.0001
0.350 -0.1043 -0.0001
0.450 -0.0934 -0.0001
0.550 -0.0854 -0.0001
0.650 -0.0749 -0.0001
0.750 -0.0684 -0.0001
0.850 -0.0639 -0.0001
0.950 -0.0542 -0.0001
1.050 -0.0478 -0.0001
1.150 -0.0440 -0.0001
1.250 -0.0356 -0.0001
1.350 -0.0289 -0.0001
1.450 -0.0224 -0.0001
1.550 -0.0159 -0.0001
1.650 -0.0089 -0.0000
1.750 -0.0031 -0.0000
