'InvCoshPar_uu_width','InvCoshPar_uu_g0','InvCoshPar_uu_g1','InvCoshPar_uu_g2','InvCoshPar_uu_g3','InvCoshPar_ud_width','InvCoshPar_ud_g0','InvCoshPar_ud_g1','InvCoshPar_ud_g2','InvCoshPar_ud_g3','InvCoshPar_us_width','InvCoshPar_us_g0','InvCoshPar_us_g1','InvCoshPar_us_g2','InvCoshPar_us_g3','InvCoshPar_ss_width','InvCoshPar_ss_g0','InvCoshPar_ss_g1','InvCoshPar_ss_g2','InvCoshPar_ss_g3'
0.837261,0.221577,0.732794,0.526186,0.480505,0.362524,0.248078,0.748564,0.687103,0.14165,0.203464,0.463462,0.526881,0.263484,0.543458,0.753642,0.181597,0.861643,0.742717,0.235668
0.859005,0.232624,0.746175,0.440571,0.450261,0.392749,0.214047,0.790049,0.674263,0.132774,0.178057,0.464653,0.53279,0.242135,0.530887,0.753988,0.223155,0.866096,0.751821,0.211146
0.862079,0.208704,0.733832,0.437251,0.436696,0.401904,0.24252,0.799612,0.674648,0.0928601,0.172842,0.468906,0.526391,0.226263,0.500495,0.774611,0.213245,0.871671,0.760144,0.1951
0.847197,0.211058,0.723528,0.430114,0.453129,0.394787,0.227504,0.793253,0.675302,0.111745,0.169759,0.47165,0.531181,0.210783,0.504829,0.769756,0.20327,0.857891,0.7584,0.199362
0.847643,0.228358,0.729626,0.41718,0.424895,0.416658,0.226974,0.795315,0.660119,0.0964321,0.226631,0.460494,0.550156,0.211688,0.513828,0.727196,0.235105,0.829008,0.819694,0.240734
0.847643,0.228358,0.729626,0.41718,0.424895,0.416658,0.226974,0.795315,0.660119,0.0964321,0.226631,0.460494,0.550156,0.211688,0.513828,0.727196,0.235105,0.829008,0.819694,0.240734
0.86275,0.227157,0.719981,0.427468,0.423738,0.435401,0.210141,0.829531,0.640892,0.109131,0.232279,0.425594,0.523159,0.223968,0.521537,0.731423,0.191091,0.862514,0.80342,0.216935
0.840607,0.249713,0.726643,0.417374,0.410544,0.425636,0.188987,0.822017,0.628384,0.118881,0.249051,0.404759,0.531368,0.2133,0.515004,0.739787,0.163597,0.846332,0.802623,0.23641
0.814234,0.254471,0.717704,0.399542,0.43332,0.42356,0.165806,0.807891,0.652273,0.128553,0.265318,0.400874,0.531372,0.205145,0.532733,0.750863,0.171192,0.861527,0.826062,0.250795
0.807607,0.245908,0.738954,0.375679,0.44346,0.406695,0.131545,0.824161,0.639274,0.148699,0.222797,0.355129,0.508502,0.194649,0.57509,0.734968,0.170002,0.85181,0.826512,0.2598
0.820251,0.263654,0.710436,0.370348,0.444983,0.402707,0.138509,0.828938,0.637805,0.167241,0.234246,0.363347,0.506148,0.201734,0.581344,0.749039,0.154885,0.853005,0.799812,0.24745
0.820251,0.263654,0.710436,0.370348,0.444983,0.402707,0.138509,0.828938,0.637805,0.167241,0.234246,0.363347,0.506148,0.201734,0.581344,0.749039,0.154885,0.853005,0.799812,0.24745
0.811075,0.237275,0.757756,0.394721,0.459221,0.363038,0.171204,0.848148,0.664042,0.162574,0.239809,0.339647,0.523762,0.200271,0.581684,0.776258,0.179617,0.891769,0.780042,0.266024
0.813099,0.245477,0.770451,0.419976,0.489147,0.375617,0.184107,0.846522,0.682377,0.144778,0.235124,0.353855,0.501519,0.206537,0.577798,0.768866,0.190198,0.873546,0.784158,0.247079
0.833238,0.238329,0.760234,0.410938,0.480113,0.382512,0.197972,0.814932,0.643144,0.158014,0.261135,0.342313,0.500254,0.232919,0.544556,0.771313,0.189927,0.864088,0.803161,0.264635
0.837296,0.212333,0.749801,0.392887,0.487218,0.392847,0.202091,0.825476,0.638643,0.15896,0.244271,0.343941,0.513286,0.212487,0.550846,0.77967,0.196738,0.859892,0.788916,0.253056
0.844656,0.203884,0.75535,0.413208,0.481676,0.384801,0.186882,0.825911,0.618658,0.153393,0.227628,0.333749,0.489805,0.229582,0.586273,0.794449,0.200873,0.864868,0.785361,0.253338
0.843265,0.168344,0.738306,0.444567,0.469836,0.440375,0.136362,0.834926,0.605226,0.153034,0.19631,0.297417,0.463525,0.239805,0.564772,0.763286,0.186717,0.8118,0.790705,0.23287
0.83642,0.201736,0.735135,0.436734,0.484434,0.458586,0.145393,0.840328,0.597189,0.168703,0.219594,0.28793,0.426477,0.241838,0.556171,0.74268,0.214287,0.812792,0.82958,0.241227
0.816019,0.216764,0.708952,0.451886,0.456691,0.440543,0.14725,0.840907,0.616072,0.18083,0.220606,0.276608,0.413034,0.238606,0.554756,0.72878,0.216618,0.822661,0.8032,0.260109
0.817287,0.200177,0.708958,0.445108,0.467743,0.437211,0.165579,0.837529,0.592125,0.171635,0.217208,0.263657,0.425263,0.218752,0.573426,0.740709,0.220355,0.831037,0.786653,0.262655
0.822475,0.199899,0.718626,0.443654,0.469763,0.430069,0.139802,0.8386,0.598071,0.167513,0.215063,0.25283,0.435882,0.212754,0.57452,0.740552,0.220991,0.833039,0.772508,0.252471
0.830769,0.119537,0.732966,0.412644,0.461434,0.410771,0.129686,0.84718,0.583827,0.170699,0.192405,0.267984,0.43832,0.214137,0.542998,0.740233,0.219869,0.827391,0.780491,0.223915
0.812602,0.124399,0.741919,0.440971,0.441535,0.43171,0.125695,0.817042,0.625714,0.18766,0.201034,0.283891,0.424625,0.22182,0.532247,0.753487,0.225835,0.826042,0.788679,0.230794
0.82194,0.130717,0.743475,0.445325,0.415343,0.443842,0.130703,0.805228,0.59843,0.161743,0.258115,0.310557,0.420775,0.215672,0.530702,0.719918,0.190284,0.845232,0.751887,0.225016
0.82194,0.130717,0.743475,0.445325,0.415343,0.443842,0.130703,0.805228,0.59843,0.161743,0.258115,0.310557,0.420775,0.215672,0.530702,0.719918,0.190284,0.845232,0.751887,0.225016
0.814419,0.147612,0.757705,0.426951,0.421921,0.453221,0.144124,0.798862,0.616867,0.165272,0.238395,0.265397,0.436162,0.187603,0.544125,0.755447,0.192422,0.867602,0.725371,0.209444
0.824631,0.148876,0.776034,0.459019,0.374642,0.451113,0.152149,0.742734,0.631882,0.222198,0.242909,0.223052,0.45519,0.19867,0.559936,0.782501,0.161412,0.834117,0.720963,0.257215
0.81936,0.160428,0.777028,0.456474,0.413165,0.432447,0.177861,0.743748,0.643415,0.212571,0.232216,0.244617,0.468622,0.183307,0.545951,0.80032,0.166116,0.814258,0.696593,0.25785
0.778991,0.142515,0.813038,0.413852,0.429589,0.379283,0.177057,0.751773,0.638868,0.204674,0.20548,0.262513,0.435044,0.193006,0.535236,0.780062,0.176149,0.856258,0.742149,0.230867
0.80313,0.154243,0.769181,0.428963,0.424997,0.389285,0.140265,0.742963,0.61653,0.201433,0.152807,0.281018,0.459052,0.174378,0.557431,0.760368,0.156388,0.84626,0.728634,0.205006
0.820999,0.14524,0.772951,0.455924,0.390428,0.406898,0.117856,0.718216,0.635147,0.210558,0.200321,0.271208,0.450226,0.188403,0.570329,0.736949,0.163754,0.873781,0.728046,0.205204
0.80836,0.123729,0.785701,0.45936,0.399575,0.374229,0.139439,0.71916,0.620153,0.209978,0.213772,0.253815,0.439259,0.187749,0.570436,0.747562,0.183539,0.881408,0.744786,0.21333
0.80836,0.123729,0.785701,0.45936,0.399575,0.374229,0.139439,0.71916,0.620153,0.209978,0.213772,0.253815,0.439259,0.187749,0.570436,0.747562,0.183539,0.881408,0.744786,0.21333
0.80836,0.123729,0.785701,0.45936,0.399575,0.374229,0.139439,0.71916,0.620153,0.209978,0.213772,0.253815,0.439259,0.187749,0.570436,0.747562,0.183539,0.881408,0.744786,0.21333
0.797256,0.11385,0.803786,0.448621,0.414629,0.397099,0.153191,0.688472,0.618218,0.223984,0.231517,0.228234,0.426099,0.193469,0.558254,0.757495,0.197008,0.854074,0.735908,0.234936
0.8326,0.140286,0.802797,0.462346,0.39767,0.384529,0.140724,0.690069,0.608418,0.226723,0.241036,0.221409,0.473567,0.190197,0.585149,0.786991,0.22278,0.847453,0.76208,0.257119
0.816304,0.15195,0.796612,0.460581,0.377914,0.369732,0.11737,0.670887,0.625656,0.223907,0.268745,0.232169,0.466504,0.179681,0.56681,0.79993,0.165759,0.827195,0.754345,0.252461
0.795983,0.141671,0.805186,0.460438,0.347153,0.410051,0.123978,0.686,0.601981,0.23934,0.278279,0.216519,0.46608,0.169139,0.568376,0.786159,0.191455,0.772866,0.775704,0.260834
0.818297,0.136534,0.831164,0.433937,0.36681,0.437826,0.131789,0.621438,0.640965,0.226151,0.273742,0.204232,0.467512,0.163002,0.571618,0.791603,0.209128,0.830547,0.773083,0.252187
0.795447,0.159803,0.833956,0.428215,0.38351,0.454065,0.155244,0.616206,0.622003,0.229615,0.297566,0.21963,0.447932,0.149698,0.574937,0.794199,0.21759,0.828265,0.774618,0.257532
0.794804,0.175427,0.772783,0.433432,0.387057,0.434818,0.182306,0.620485,0.607216,0.212679,0.267219,0.211967,0.482996,0.146646,0.614418,0.785516,0.250091,0.844523,0.801563,0.242516
0.817223,0.193003,0.789212,0.471191,0.363103,0.405614,0.17202,0.625485,0.621094,0.219303,0.28785,0.206065,0.504865,0.136686,0.631272,0.760764,0.248259,0.835736,0.825014,0.243037
0.819169,0.174581,0.785743,0.446117,0.343004,0.404168,0.168186,0.628827,0.615265,0.211399,0.299805,0.21276,0.522382,0.149816,0.637265,0.755348,0.244157,0.795794,0.831894,0.273113
0.818732,0.155735,0.811751,0.37956,0.298694,0.438837,0.179211,0.677474,0.638245,0.228408,0.317704,0.211584,0.545918,0.124934,0.63879,0.707445,0.247688,0.771901,0.808038,0.280785
0.845354,0.192196,0.800877,0.375888,0.341361,0.426026,0.133795,0.698267,0.627378,0.190619,0.332651,0.216749,0.549857,0.140698,0.61349,0.709602,0.277773,0.748522,0.814396,0.299755
0.848988,0.178323,0.779437,0.384911,0.356544,0.40893,0.129574,0.67164,0.651162,0.224546,0.340722,0.220281,0.528625,0.130274,0.607859,0.686847,0.246557,0.740042,0.808348,0.321371
0.858807,0.174672,0.790269,0.409913,0.338256,0.418137,0.162965,0.681596,0.651099,0.204116,0.367916,0.236538,0.521379,0.139625,0.572556,0.691417,0.235969,0.755784,0.823322,0.31124
0.858807,0.174672,0.790269,0.409913,0.338256,0.418137,0.162965,0.681596,0.651099,0.204116,0.367916,0.236538,0.521379,0.139625,0.572556,0.691417,0.235969,0.755784,0.823322,0.31124
0.860423,0.17401,0.774057,0.4633,0.349415,0.425448,0.159351,0.691512,0.636731,0.229751,0.393781,0.250703,0.488879,0.135946,0.578937,0.709092,0.18916,0.756756,0.789513,0.332516
0.850055,0.153284,0.76171,0.437597,0.33865,0.426542,0.134634,0.671916,0.607327,0.269247,0.37605,0.264438,0.537215,0.189598,0.607459,0.719219,0.208526,0.789331,0.812601,0.352446
0.859463,0.15696,0.759063,0.46577,0.33481,0.416249,0.146768,0.690252,0.616908,0.263367,0.384622,0.277691,0.507074,0.168803,0.609854,0.712609,0.175415,0.779002,0.819133,0.346036
0.859343,0.162304,0.775532,0.473393,0.352464,0.407232,0.165941,0.709558,0.629483,0.295271,0.377587,0.282893,0.496341,0.163831,0.626918,0.714312,0.172616,0.786718,0.811184,0.309612
0.870423,0.165825,0.769915,0.497268,0.367674,0.424328,0.131751,0.725513,0.635259,0.286738,0.357281,0.268781,0.509732,0.126177,0.627262,0.716323,0.186216,0.801427,0.790416,0.310847
0.870394,0.205073,0.788871,0.47219,0.374239,0.416856,0.139303,0.703263,0.654358,0.290235,0.358852,0.288988,0.479477,0.122523,0.61678,0.713217,0.184258,0.817787,0.810929,0.318725
0.86366,0.155823,0.796857,0.447847,0.367776,0.415991,0.128829,0.732838,0.654037,0.266769,0.33714,0.27661,0.472144,0.111304,0.600296,0.721915,0.187081,0.818671,0.761274,0.29524
0.87473,0.135385,0.80221,0.433755,0.40256,0.426633,0.112177,0.746715,0.675196,0.284763,0.312791,0.243596,0.491604,0.0990914,0.592949,0.733917,0.170332,0.794711,0.772824,0.295266
0.873463,0.135993,0.797331,0.424104,0.41138,0.411101,0.122717,0.754437,0.660255,0.280532,0.339853,0.263278,0.477555,0.0966555,0.580231,0.759644,0.195095,0.780535,0.766281,0.28203
0.879928,0.107558,0.771345,0.449692,0.395396,0.440331,0.135598,0.754353,0.658942,0.253627,0.312927,0.271422,0.451521,0.0663814,0.548739,0.726652,0.180567,0.807498,0.789491,0.311975
0.843252,0.115883,0.775576,0.474619,0.444786,0.454735,0.11918,0.74862,0.665424,0.225027,0.316677,0.27282,0.450688,0.0811929,0.546496,0.728307,0.196553,0.809204,0.76282,0.335762
0.817727,0.149584,0.772537,0.475367,0.427431,0.44441,0.0917416,0.769807,0.648628,0.253041,0.295027,0.245592,0.472298,0.0822298,0.559028,0.75649,0.17149,0.811235,0.743549,0.346942
0.81097,0.127859,0.774138,0.452101,0.402479,0.411128,0.100407,0.773506,0.686557,0.239049,0.272546,0.254141,0.455368,0.13783,0.547815,0.751626,0.179711,0.844893,0.722952,0.33745
0.82464,0.0887687,0.792748,0.441734,0.416536,0.417075,0.124048,0.742319,0.68906,0.224248,0.257182,0.220938,0.434345,0.1455,0.547499,0.751538,0.167777,0.879454,0.714133,0.326017
0.875938,0.107641,0.807642,0.420998,0.44004,0.439573,0.109499,0.732071,0.684575,0.246524,0.235686,0.253657,0.419515,0.131844,0.58187,0.743629,0.157856,0.880876,0.761947,0.317128
0.856101,0.111669,0.798429,0.42899,0.438329,0.445941,0.121217,0.747549,0.68877,0.236586,0.237856,0.255959,0.441189,0.12708,0.582442,0.715281,0.169645,0.870833,0.791071,0.302696
0.859392,0.108858,0.784551,0.424334,0.449331,0.465184,0.136324,0.735224,0.697179,0.211384,0.230304,0.255517,0.418792,0.125043,0.569738,0.708421,0.197697,0.885666,0.779429,0.280113
0.852863,0.125288,0.782846,0.408731,0.454496,0.464011,0.156707,0.727009,0.699352,0.197176,0.24652,0.228953,0.452718,0.107562,0.554653,0.698007,0.228504,0.869573,0.751611,0.26376
