# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=1000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.403762 -----------------
#dely    BF
0.050  0.6193  0.0017
0.150  0.5661  0.0016
0.250  0.5304  0.0016
0.350  0.4554  0.0014
0.450  0.4059  0.0013
0.550  0.3589  0.0013
0.650  0.2829  0.0011
0.750  0.2412  0.0010
0.850  0.1862  0.0008
0.950  0.1406  0.0007
1.050  0.0945  0.0005
1.150  0.0683  0.0004
1.250  0.0432  0.0003
1.350  0.0270  0.0002
1.450  0.0122  0.0001
1.550  0.0055  0.0001
1.650  0.0002  0.0000
1.750 -0.0000 -0.0000
