'InvCoshPar_uu_width','InvCoshPar_ud_width','InvCoshPar_us_width','InvCoshPar_ss_width'
0.734887,1.07605,0.896009,0.649109
0.745732,1.07821,0.955613,0.649593
0.760511,1.07769,0.983387,0.668564
0.762952,1.11175,0.973868,0.657772
0.762952,1.11175,0.973868,0.657772
0.752505,1.07588,0.976575,0.664508
0.752505,1.07588,0.976575,0.664508
0.736173,1.10854,0.936064,0.647215
0.782378,1.14015,0.961023,0.677084
0.784864,1.07825,1.0265,0.715439
0.801594,1.12367,0.968169,0.707374
0.768257,1.13452,0.921471,0.670988
0.775795,1.12144,0.886858,0.692295
0.76333,1.09916,0.873844,0.675088
0.769318,1.09138,0.866248,0.68807
0.727617,1.0953,0.871808,0.654323
0.778451,1.08038,0.829329,0.730105
0.772384,1.07346,0.823192,0.719225
0.807045,1.1066,0.869516,0.739342
0.830913,1.05786,0.908865,0.742656
0.794477,1.05213,0.928462,0.726087
0.795074,1.10225,0.893559,0.700353
0.78994,1.11261,0.924675,0.673134
0.774843,1.0905,0.961721,0.660487
0.789328,1.12145,1.02252,0.685114
0.802925,1.0921,1.02876,0.699584
0.786548,1.08666,1.03728,0.674769
0.769258,1.12709,1.04031,0.697556
0.790726,1.16537,1.07711,0.682272
0.792227,1.16668,1.10638,0.701796
0.802899,1.21595,1.07749,0.706994
0.802371,1.19081,1.10739,0.694308
0.76656,1.18885,1.09703,0.660751
0.78892,1.14341,1.07084,0.686688
0.794761,1.17365,1.10971,0.689737
0.768008,1.18408,1.13483,0.720526
0.788096,1.23628,1.2418,0.744057
0.816951,1.26405,1.23549,0.757177
0.838409,1.20634,1.1134,0.793329
0.851058,1.16281,1.11707,0.812355
0.855014,1.15586,1.1245,0.78405
0.870789,1.17756,1.07416,0.781023
0.903276,1.27096,1.09444,0.806354
0.841026,1.29638,1.1057,0.769849
0.880306,1.24566,1.10967,0.763438
0.918149,1.26403,1.09281,0.783207
0.872337,1.2929,1.05189,0.757823
0.877619,1.29802,1.04531,0.765843
0.854954,1.30595,1.13803,0.724267
0.861644,1.34952,1.15279,0.713715
0.867817,1.28215,1.15976,0.746943
0.860457,1.29601,1.11546,0.71606
0.835154,1.29463,1.11138,0.6847
0.792856,1.30037,1.09411,0.673416
0.786958,1.28308,1.08911,0.701374
0.782849,1.29589,1.10087,0.684456
0.788706,1.27329,1.15289,0.693366
0.818569,1.17762,1.04346,0.753064
0.820734,1.20677,1.05943,0.738649
0.843642,1.14118,1.0499,0.742991
0.839744,1.18043,1.04502,0.746951
0.800288,1.10736,1.00201,0.718385
0.778552,1.12783,1.06406,0.685307
0.780942,1.18578,1.03917,0.672309
0.78459,1.1724,1.0432,0.695409
0.81442,1.17413,1.042,0.681466
0.827552,1.22662,1.03512,0.715732
0.794936,1.20863,1.00293,0.66381
0.794936,1.20863,1.00293,0.66381
0.770568,1.21587,0.997815,0.655889
0.770568,1.21587,0.997815,0.655889
0.779852,1.24356,1.00716,0.664715
0.769289,1.20582,0.970765,0.664283
0.76168,1.17356,1.045,0.662315
0.763059,1.09163,1.01551,0.641294
0.768099,1.06777,1.0006,0.653285
0.791839,1.01974,1.00139,0.665864
0.783558,1.00613,0.986203,0.689844
0.785923,1.01241,0.981572,0.704497
0.807351,1.0208,1.00099,0.693326
0.822012,1.04364,0.969764,0.745481
0.809341,1.0667,1.00477,0.7089
0.825824,1.09151,1.03692,0.7441
0.80174,1.10279,1.05355,0.720456
0.792732,1.09291,0.985766,0.647167
0.816624,1.15714,0.984166,0.720224
0.803391,1.12401,1.0228,0.715918
0.792986,1.09937,1.02325,0.696231
0.792986,1.09937,1.02325,0.696231
0.788616,1.11447,1.03605,0.665777
0.790476,1.14484,1.06815,0.681871
0.792393,1.15701,1.05788,0.688146
0.796067,1.11649,1.04182,0.71234
0.7734,1.0809,1.03658,0.654834
0.74896,1.05503,1.05029,0.654794
0.774084,1.17423,0.969084,0.661882
0.77841,1.16601,0.977221,0.66574
0.759816,1.1535,0.976129,0.655319
0.770365,1.16444,0.973621,0.65315
0.738308,1.19289,0.914728,0.618297
0.72576,1.20991,0.955255,0.612887
0.770299,1.17131,0.941031,0.637729
0.759353,1.17013,0.957874,0.673053
0.775361,1.15315,0.972821,0.669861
0.788196,1.16422,0.964091,0.677677
0.815076,1.19809,0.905454,0.699357
0.803137,1.1751,0.95551,0.694066
0.794805,1.18635,0.981701,0.727961
0.790811,1.15965,1.04698,0.704695
0.807499,1.16924,1.05794,0.687465
0.807091,1.13539,1.05806,0.698563
0.803088,1.12938,1.0628,0.676798
0.777391,1.17824,1.05443,0.68719
0.790381,1.11763,1.09408,0.701641
0.802315,1.09204,1.04364,0.716028
0.79339,1.05607,1.07398,0.710012
0.770382,1.00141,1.04143,0.670541
0.792923,1.00843,1.05858,0.690279
0.823703,1.00358,1.04808,0.725624
0.829066,1.05425,1.04962,0.723823
0.845138,1.05733,1.05372,0.701286
0.790644,0.991723,1.01922,0.688567
0.793441,1.0031,1.01582,0.673341
0.790649,0.971776,0.982877,0.675232
0.795765,1.0178,0.973628,0.712612
0.807842,0.962293,0.99824,0.706675
0.812805,1.00636,1.00081,0.730263
0.789561,1.01706,0.958194,0.694218
0.850574,1.05064,0.968464,0.741798
0.82058,1.08578,0.933523,0.717092
0.796023,1.08379,0.905441,0.711057
0.813635,1.04295,0.944828,0.705537
0.798199,1.02413,0.979826,0.744131
0.827599,0.918669,0.925494,0.718931
0.848806,0.943744,0.91474,0.735077
0.839107,0.915959,0.856736,0.756091
0.824858,0.904934,0.852717,0.735892
0.858759,0.864863,0.886054,0.756744
0.839587,0.859224,0.905523,0.750283
0.819453,0.887005,1.02459,0.709487
0.816733,0.934544,1.00432,0.706401
0.8204,0.887761,1.00048,0.709599
0.806499,0.873858,0.840932,0.721289
0.808771,0.873578,0.850088,0.737078
0.808071,0.838536,0.894586,0.726962
0.817992,0.880875,0.897388,0.711408
0.812398,0.844571,0.970966,0.694418
0.743901,0.859568,0.903134,0.670344
0.76755,0.83548,0.951884,0.655358
0.76755,0.83548,0.951884,0.655358
0.794732,0.83887,0.957739,0.65413
0.838197,0.784989,0.95315,0.688238
0.764483,0.764745,0.843105,0.658721
0.781427,0.780951,0.823607,0.658743
0.766813,0.863533,0.804706,0.659232
0.766813,0.863533,0.804706,0.659232
0.722248,0.882123,0.796884,0.664246
0.773392,0.909018,0.805278,0.71997
0.816785,0.913248,0.840029,0.733247
0.787521,0.938357,0.889241,0.697082
0.7716,0.937996,0.838229,0.671237
0.765253,0.8761,0.854183,0.667785
0.763481,0.913161,0.806224,0.743717
0.816476,0.975377,0.808307,0.737072
0.791149,0.874968,0.849473,0.702405
0.784264,0.884458,0.883454,0.675795
0.77841,0.894363,0.905765,0.665172
0.79661,0.912887,0.855813,0.690143
0.820095,0.904659,0.923387,0.716347
0.805313,0.922527,0.937613,0.701661
0.799769,1.01316,0.979461,0.688588
0.800992,1.06575,0.871388,0.718502
0.785324,1.03622,0.909021,0.687573
0.732857,1.08728,0.906919,0.636042
0.745833,1.06555,0.888065,0.645912
0.779271,1.08968,0.904351,0.652048
0.76527,1.11856,0.905325,0.671299
0.788017,1.15662,0.925423,0.69343
0.75689,1.14336,0.942038,0.659443
0.765489,1.18375,0.904689,0.659175
0.765479,1.20116,0.898204,0.688239
0.724887,1.18133,0.893767,0.641752
0.717236,1.17892,0.858717,0.625485
0.717236,1.17892,0.858717,0.625485
0.702176,1.22666,0.841465,0.627484
0.73053,1.23903,0.82712,0.645374
0.705167,1.21505,0.789058,0.658357
0.710234,1.20471,0.773563,0.665249
0.698159,1.17555,0.790183,0.654019
0.709967,1.24192,0.753127,0.663125
0.709152,1.22324,0.78262,0.63986
0.708345,1.22702,0.802417,0.649737
0.708345,1.22702,0.802417,0.649737
0.708345,1.22702,0.802417,0.649737
0.707602,1.22242,0.784086,0.633197
0.707602,1.22242,0.784086,0.633197
0.714324,1.23449,0.793517,0.656281
0.710385,1.23736,0.784558,0.684616
0.708824,1.22089,0.795927,0.680402
0.712811,1.27306,0.813639,0.621677
0.706797,1.27084,0.839022,0.62793
0.72058,1.25486,0.84125,0.640326
0.752113,1.21936,0.847115,0.67604
0.758723,1.19069,0.877869,0.6481
0.748388,1.22335,0.883933,0.639882
0.768729,1.22007,0.882547,0.649489
0.754896,1.10269,0.854176,0.676826
0.785209,1.08887,0.877896,0.697348
0.787276,1.07404,0.953774,0.669969
0.739302,1.10717,0.887273,0.631324
0.735842,1.07633,0.867826,0.656191
0.735842,1.07633,0.867826,0.656191
0.735842,1.07633,0.867826,0.656191
0.729879,1.09258,0.875361,0.635078
0.745883,1.1002,0.89556,0.620967
0.745883,1.1002,0.89556,0.620967
0.733476,1.03007,0.883219,0.627396
0.752465,1.0447,0.898206,0.644311
0.751249,1.04731,0.904024,0.670061
0.757307,1.09429,0.870982,0.69763
0.767479,1.05567,0.849311,0.714393
0.765743,1.08809,0.817213,0.689347
0.744218,1.14885,0.800581,0.69579
0.76194,1.16866,0.796773,0.712139
0.735102,1.12644,0.80946,0.713683
0.744526,1.05405,0.784083,0.73714
0.724372,1.08254,0.776876,0.701224
