# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0492969 -----------------
#dely    BF
0.050 -0.0230 -0.0000
0.150 -0.0273 -0.0000
0.250 -0.0286 -0.0000
0.350 -0.0313 -0.0000
0.450 -0.0300 -0.0000
0.550 -0.0350 -0.0001
0.650 -0.0371 -0.0001
0.750 -0.0398 -0.0001
0.850 -0.0410 -0.0001
0.950 -0.0411 -0.0001
1.050 -0.0381 -0.0001
1.150 -0.0351 -0.0001
1.250 -0.0303 -0.0001
1.350 -0.0244 -0.0001
1.450 -0.0169 -0.0001
1.550 -0.0101 -0.0001
1.650 -0.0037 -0.0000
1.750 -0.0003 -0.0000
