# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.131576 -----------------
#dely    BF
0.050  0.3171  0.0056
0.150  0.2483  0.0047
0.250  0.2050  0.0042
0.350  0.1548  0.0035
0.450  0.1154  0.0030
0.550  0.0850  0.0026
0.650  0.0590  0.0021
0.750  0.0448  0.0019
0.850  0.0334  0.0016
0.950  0.0242  0.0014
1.050  0.0138  0.0011
1.150  0.0087  0.0009
1.250  0.0042  0.0005
1.350  0.0020  0.0004
1.450 -0.0000 -0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
