'InvCoshPar_uu_width','InvCoshPar_uu_g0','InvCoshPar_uu_g1','InvCoshPar_ud_width','InvCoshPar_ud_g0','InvCoshPar_ud_g1','InvCoshPar_us_width','InvCoshPar_us_g0','InvCoshPar_us_g1','InvCoshPar_ss_width','InvCoshPar_ss_g0','InvCoshPar_ss_g1'
0.373237,0.167347,0.448614,0.626347,0.163147,0.797364,0.380513,0.0673961,0.0414293,0.769361,0.138454,0.668167
0.375378,0.166719,0.448679,0.626199,0.165116,0.807435,0.376249,0.0682858,0.040242,0.774274,0.137929,0.667346
0.370892,0.167547,0.446268,0.627093,0.165079,0.807735,0.375018,0.0676955,0.0355157,0.772786,0.136927,0.661776
0.375207,0.168479,0.456538,0.628185,0.163748,0.801463,0.375033,0.0672806,0.0334001,0.774115,0.137997,0.667632
0.377653,0.168367,0.459362,0.623303,0.164714,0.803778,0.377,0.067274,0.0360563,0.773439,0.137792,0.666356
0.371311,0.17268,0.470465,0.61421,0.163876,0.794386,0.369027,0.0708612,0.0434649,0.761133,0.13786,0.662097
0.382403,0.169545,0.471159,0.623894,0.161429,0.78716,0.369557,0.0681193,0.0300957,0.746583,0.13802,0.657272
0.380879,0.170158,0.471949,0.625382,0.161785,0.789808,0.371238,0.0688475,0.0362054,0.745705,0.138941,0.661545
0.392286,0.16745,0.474354,0.63266,0.165534,0.813083,0.375567,0.068392,0.0398553,0.751497,0.137367,0.655924
0.395218,0.167434,0.47798,0.640487,0.16353,0.806888,0.373086,0.0692785,0.0409985,0.753158,0.137402,0.656744
0.396023,0.167031,0.477132,0.627822,0.16458,0.805556,0.377216,0.066969,0.0347794,0.768513,0.13782,0.664669
0.396023,0.167031,0.477132,0.627822,0.16458,0.805556,0.377216,0.066969,0.0347794,0.768513,0.13782,0.664669
0.402398,0.165774,0.479197,0.630315,0.163326,0.800437,0.374787,0.067838,0.0359319,0.764002,0.138331,0.665543
