'InvCoshPar_uu_width','InvCoshPar_uu_g0','InvCoshPar_uu_g1','InvCoshPar_ud_width','InvCoshPar_ud_g0','InvCoshPar_ud_g1','InvCoshPar_us_width','InvCoshPar_us_g0','InvCoshPar_us_g1','InvCoshPar_ss_width','InvCoshPar_ss_g0','InvCoshPar_ss_g1'
1.33192,0.82657,0.522962,1.50513,0.830039,0.610687,1.96021,0.710703,0.578971,0.573908,0.790782,-0.477795
1.32943,0.821164,0.513511,1.49465,0.83267,0.610183,1.98834,0.702411,0.573426,0.571693,0.795291,-0.477476
1.32508,0.803166,0.484151,1.48713,0.835987,0.611929,1.99847,0.697545,0.56856,0.53361,0.840454,-0.528952
1.27787,0.798713,0.450844,1.45417,0.814059,0.564477,1.96339,0.69554,0.557013,0.552826,0.778829,-0.559188
1.27264,0.804374,0.456263,1.44132,0.812932,0.556932,1.96135,0.713494,0.583441,0.568789,0.717228,-0.603116
1.28084,0.759373,0.393559,1.40106,0.81824,0.545853,1.91643,0.700306,0.552244,0.571679,0.725802,-0.581765
1.28084,0.759373,0.393559,1.40106,0.81824,0.545853,1.91643,0.700306,0.552244,0.571679,0.725802,-0.581765
1.28627,0.743651,0.373121,1.34203,0.840899,0.549861,1.90832,0.692816,0.53889,0.566576,0.755549,-0.552185
1.27347,0.780166,0.420439,1.27487,0.868449,0.553704,1.95602,0.685645,0.540334,0.581012,0.71478,-0.571466
1.27696,0.755999,0.386232,1.34303,0.805404,0.497142,1.95562,0.706787,0.571953,0.538796,0.795417,-0.57929
1.25891,0.76035,0.382034,1.35843,0.818158,0.524337,1.9702,0.700965,0.566833,0.565378,0.749431,-0.564936
1.24877,0.793144,0.425074,1.41626,0.773191,0.485585,1.98004,0.653426,0.497925,0.555286,0.756595,-0.584889
1.23978,0.771846,0.387574,1.43859,0.772353,0.494794,1.96604,0.643877,0.480164,0.547227,0.776873,-0.579796
1.28297,0.760274,0.39615,1.48663,0.740397,0.468308,1.95202,0.651692,0.488398,0.604129,0.651149,-0.604023
1.34246,0.739522,0.398006,1.46256,0.741979,0.460111,1.98637,0.646468,0.489022,0.626517,0.629845,-0.579493
1.32993,0.747447,0.403192,1.41717,0.785802,0.50494,1.97155,0.673855,0.526494,0.611485,0.664404,-0.565122
1.31306,0.766964,0.423247,1.37275,0.797729,0.501024,1.96662,0.667953,0.516427,0.609689,0.603535,-0.661038
1.22364,0.774746,0.381767,1.35613,0.790999,0.482403,1.99315,0.672666,0.529961,0.572154,0.654458,-0.687406
1.3051,0.765094,0.416001,1.3114,0.814605,0.493797,1.95508,0.698244,0.559003,0.616026,0.537696,-0.743695
1.32519,0.759255,0.418336,1.30501,0.781596,0.440711,1.94599,0.69686,0.554643,0.603941,0.56193,-0.738363
1.34333,0.731938,0.387087,1.27902,0.76091,0.394803,1.91936,0.653983,0.483509,0.595551,0.57924,-0.734672
1.34333,0.731938,0.387087,1.27902,0.76091,0.394803,1.91936,0.653983,0.483509,0.595551,0.57924,-0.734672
1.30454,0.716292,0.342475,1.28955,0.783194,0.43433,1.95344,0.605651,0.419686,0.571654,0.58714,-0.789858
1.31263,0.71543,0.345696,1.30725,0.773451,0.429746,1.98028,0.599021,0.416366,0.580381,0.536771,-0.8403
1.36896,0.725111,0.390157,1.37551,0.763843,0.451584,1.98991,0.593677,0.410681,0.558007,0.607695,-0.79988
1.36896,0.725111,0.390157,1.37551,0.763843,0.451584,1.98991,0.593677,0.410681,0.558007,0.607695,-0.79988
1.39147,0.722601,0.39768,1.42816,0.781009,0.502934,1.9509,0.613795,0.431266,0.55312,0.639944,-0.766623
1.43405,0.753868,0.464963,1.41173,0.799726,0.52323,1.92859,0.657359,0.490958,0.520473,0.702258,-0.781446
1.42594,0.817153,0.556114,1.46927,0.763951,0.496053,1.94025,0.675206,0.520707,0.496698,0.842495,-0.658897
1.3542,0.821486,0.527133,1.44662,0.835615,0.593386,1.95109,0.693265,0.550534,0.503629,0.809022,-0.682653
1.36448,0.805044,0.507784,1.48127,0.845482,0.623632,1.96189,0.702122,0.566515,0.510748,0.770746,-0.71364
1.35793,0.803623,0.502273,1.46112,0.858068,0.633622,1.93707,0.681483,0.529317,0.490869,0.816642,-0.720515
1.41631,0.780341,0.496338,1.45786,0.857043,0.630624,1.93655,0.698766,0.55511,0.525487,0.701456,-0.765142
1.37662,0.814777,0.528557,1.44763,0.829862,0.585215,1.93919,0.698083,0.554757,0.504069,0.700386,-0.843971
1.42019,0.806458,0.537359,1.48699,0.812573,0.576744,1.854,0.720469,0.565709,0.520104,0.697261,-0.790244
1.48379,0.767073,0.507101,1.52797,0.849471,0.649321,1.8198,0.756522,0.610115,0.511866,0.707527,-0.804398
1.41933,0.77647,0.491965,1.50268,0.896506,0.709365,1.77635,0.810203,0.67781,0.494943,0.753274,-0.799562
1.46049,0.761357,0.488256,1.51907,0.900955,0.722897,1.74669,0.809563,0.66772,0.519617,0.695337,-0.79485
1.44415,0.768831,0.492069,1.55987,0.905947,0.74683,1.80346,0.801903,0.67344,0.512116,0.714983,-0.792299
1.42782,0.76862,0.484189,1.55308,0.907303,0.746188,1.79154,0.7893,0.651011,0.462885,0.831821,-0.815368
1.39144,0.764612,0.460688,1.53652,0.910897,0.744949,1.73165,0.796751,0.643753,0.509073,0.721958,-0.792986
1.43673,0.793459,0.525598,1.58934,0.877215,0.715079,1.65288,0.806201,0.631645,0.490691,0.733472,-0.845991
1.47934,0.803114,0.559232,1.60936,0.885955,0.735667,1.6243,0.841352,0.67421,0.473564,0.816874,-0.791264
1.45853,0.797211,0.541165,1.53686,0.913099,0.748392,1.62551,0.814227,0.633955,0.455919,0.867006,-0.79411
1.41004,0.812756,0.541966,1.50799,0.925564,0.755195,1.68013,0.8121,0.649866,0.417254,1.0169,-0.763357
1.35444,0.83666,0.550026,1.49625,0.861894,0.654708,1.75413,0.763321,0.600669,0.429658,1.00171,-0.720056
1.36134,0.861331,0.590605,1.46996,0.832855,0.599731,1.72291,0.785549,0.624151,0.41092,1.06819,-0.721683
1.38278,0.889075,0.643107,1.46067,0.823196,0.581104,1.81264,0.756683,0.608285,0.428564,0.978786,-0.760123
1.40294,0.835026,0.57195,1.4587,0.838633,0.603379,1.8112,0.776449,0.637519,0.450477,0.934317,-0.718435
1.36859,0.837581,0.558693,1.53834,0.840363,0.63987,1.79349,0.770772,0.623796,0.44091,0.969292,-0.711965
1.32946,0.845789,0.550468,1.51276,0.843313,0.633802,1.78533,0.788138,0.647414,0.43381,0.987888,-0.719521
1.29582,0.845748,0.531757,1.52731,0.883803,0.700559,1.85441,0.767554,0.636462,0.434256,0.935815,-0.795379
1.28535,0.804121,0.463308,1.62004,0.815523,0.633916,1.90027,0.729378,0.591619,0.489037,0.775513,-0.789505
1.26637,0.768679,0.399,1.60424,0.831103,0.651483,1.91351,0.708314,0.563498,0.478862,0.824837,-0.757006
1.27132,0.771766,0.406567,1.65365,0.812971,0.642071,1.90174,0.730372,0.593497,0.499611,0.795331,-0.718441
1.2889,0.792246,0.447536,1.55375,0.825188,0.623265,1.80083,0.738076,0.576915,0.47801,0.867015,-0.697285
1.29932,0.801708,0.467677,1.55526,0.814433,0.607727,1.80765,0.767871,0.623614,0.476938,0.866188,-0.703018
1.30913,0.827372,0.511686,1.51347,0.866616,0.669055,1.88688,0.727461,0.585177,0.458026,1.01339,-0.564865
1.30913,0.827372,0.511686,1.51347,0.866616,0.669055,1.88688,0.727461,0.585177,0.458026,1.01339,-0.564865
1.28307,0.845075,0.523424,1.48441,0.849582,0.631146,1.90112,0.746363,0.617323,0.457233,0.979165,-0.619827
1.39026,0.823549,0.548523,1.57799,0.829962,0.639869,1.86893,0.785225,0.66697,0.550792,0.747935,-0.611914
1.38901,0.841817,0.57531,1.58161,0.865828,0.69506,1.90601,0.757956,0.636005,0.550375,0.745175,-0.617368
1.36188,0.836229,0.55323,1.50277,0.807182,0.575401,1.9939,0.750148,0.646378,0.554884,0.749919,-0.59615
1.36042,0.821037,0.529684,1.43841,0.844248,0.60257,1.96074,0.770005,0.668066,0.598584,0.637901,-0.638544
1.36042,0.821037,0.529684,1.43841,0.844248,0.60257,1.96074,0.770005,0.668066,0.598584,0.637901,-0.638544
1.37012,0.834743,0.555217,1.46774,0.810683,0.565486,1.91074,0.749503,0.624565,0.59099,0.610574,-0.700041
1.43474,0.787566,0.515838,1.4702,0.809747,0.565166,1.93236,0.742667,0.619903,0.60561,0.603276,-0.671976
1.46654,0.787747,0.530541,1.50757,0.780223,0.536978,1.95691,0.732351,0.610626,0.571151,0.716012,-0.597995
1.41406,0.815377,0.547825,1.5122,0.741553,0.480906,1.97768,0.657796,0.503904,0.549523,0.73393,-0.636929
1.43859,0.80604,0.545333,1.5108,0.756646,0.502965,1.9947,0.746505,0.641106,0.642503,0.570406,-0.630736
1.43859,0.80604,0.545333,1.5108,0.756646,0.502965,1.9947,0.746505,0.641106,0.642503,0.570406,-0.630736
