'InvCoshPar_uu_width','InvCoshPar_uu_g0','InvCoshPar_uu_g1','InvCoshPar_ud_width','InvCoshPar_ud_g0','InvCoshPar_ud_g1','InvCoshPar_us_width','InvCoshPar_us_g0'
0.382353,0.772307,1.57543,0.617506,0.549886,-0.929512,1.70687,0.72413
0.382697,0.763776,1.56515,0.618372,0.555728,-0.932969,1.70957,0.709135
0.381826,0.756088,1.55942,0.627753,0.545959,-0.911025,1.71204,0.712565
0.368128,0.764775,1.54703,0.608722,0.555761,-0.897768,1.71258,0.704271
0.369119,0.75829,1.55145,0.601417,0.556871,-0.898003,1.70803,0.710736
0.359754,0.765343,1.55254,0.6023,0.557257,-0.892694,1.70542,0.70544
0.365832,0.752264,1.55886,0.588863,0.543887,-0.900092,1.70258,0.719459
0.367884,0.75168,1.54593,0.579951,0.540301,-0.907053,1.7138,0.706136
0.377785,0.759439,1.54454,0.585484,0.541638,-0.91069,1.72476,0.720718
0.378488,0.770515,1.54333,0.598159,0.546166,-0.911646,1.72003,0.719777
0.377378,0.766594,1.54693,0.606876,0.551119,-0.90957,1.71364,0.713904
0.368234,0.761404,1.53846,0.606351,0.546901,-0.90438,1.70707,0.708207
0.361529,0.77196,1.53819,0.610031,0.546809,-0.901251,1.70412,0.716441
0.366077,0.758052,1.53074,0.603778,0.545683,-0.872447,1.71704,0.716856
0.351274,0.766476,1.53984,0.611304,0.543346,-0.887717,1.70667,0.721539
0.356518,0.752159,1.55419,0.617435,0.538407,-0.888922,1.70202,0.707709
0.339978,0.756886,1.53682,0.617892,0.53658,-0.879929,1.70129,0.703702
0.339652,0.759094,1.52533,0.626303,0.536159,-0.895527,1.69701,0.706608
0.34608,0.758701,1.52842,0.632661,0.539652,-0.884744,1.70716,0.726819
0.357927,0.75753,1.5275,0.630898,0.535586,-0.89215,1.72235,0.723135
0.353463,0.77773,1.50972,0.6221,0.536517,-0.886391,1.73284,0.742644
0.354144,0.782916,1.51183,0.624014,0.54387,-0.884583,1.73078,0.733059
0.351297,0.75909,1.50257,0.626671,0.554251,-0.897535,1.73398,0.734012
0.340523,0.761975,1.50015,0.63538,0.551215,-0.90094,1.73573,0.728227
0.340523,0.761975,1.50015,0.63538,0.551215,-0.90094,1.73573,0.728227
0.338913,0.755581,1.51179,0.629544,0.542177,-0.894966,1.72672,0.731179
0.337116,0.753289,1.52103,0.63601,0.549284,-0.902677,1.73801,0.733242
0.346631,0.753233,1.53055,0.628697,0.530302,-0.898032,1.73348,0.740868
0.346835,0.752511,1.50269,0.622812,0.542613,-0.920209,1.72833,0.746899
0.333375,0.752444,1.50581,0.633916,0.53909,-0.913718,1.72192,0.732873
0.337034,0.747029,1.49578,0.623951,0.539508,-0.902922,1.72323,0.730328
0.349549,0.752824,1.49693,0.62373,0.551039,-0.889959,1.72571,0.722348
0.344369,0.764187,1.50622,0.622525,0.563433,-0.871175,1.71227,0.712565
0.352665,0.754684,1.52023,0.618214,0.560473,-0.873373,1.71858,0.713715
0.350274,0.754211,1.52533,0.594235,0.553766,-0.875755,1.72076,0.720084
0.355258,0.759015,1.53145,0.592704,0.563909,-0.861097,1.7349,0.731127
0.344079,0.749026,1.51243,0.613587,0.564795,-0.84872,1.73354,0.727794
0.340528,0.760362,1.51118,0.615455,0.56964,-0.841198,1.72781,0.725857
0.362323,0.756774,1.52512,0.617774,0.552897,-0.858084,1.72676,0.730398
0.360729,0.750741,1.54447,0.618248,0.57055,-0.847443,1.72527,0.715756
0.36144,0.76806,1.53085,0.62308,0.56665,-0.870427,1.72443,0.715035
0.362061,0.765283,1.54039,0.623678,0.557678,-0.854615,1.70569,0.704271
0.368066,0.768399,1.5526,0.633892,0.558298,-0.84795,1.70642,0.716215
0.359527,0.768154,1.55224,0.633046,0.555651,-0.853695,1.71179,0.717744
0.366524,0.768128,1.55594,0.630744,0.578497,-0.843367,1.72133,0.71915
0.379311,0.765125,1.57144,0.638384,0.585734,-0.822257,1.69775,0.688576
0.381002,0.762509,1.58529,0.639056,0.579802,-0.835289,1.68981,0.689459
0.378347,0.758532,1.5876,0.638541,0.59192,-0.850961,1.68543,0.689297
0.373045,0.756405,1.58871,0.64129,0.569194,-0.84997,1.68623,0.682341
0.375616,0.757682,1.58412,0.650409,0.572365,-0.842409,1.68893,0.690816
0.376418,0.762891,1.57479,0.644388,0.576964,-0.835869,1.69682,0.696482
0.374853,0.760416,1.57763,0.640889,0.584371,-0.843389,1.705,0.701001
0.373916,0.762437,1.5747,0.637057,0.590149,-0.829271,1.70193,0.708432
0.366758,0.750143,1.58552,0.653464,0.59371,-0.835763,1.69363,0.692103
0.368363,0.758513,1.58362,0.665281,0.597525,-0.834468,1.6911,0.690101
0.367649,0.762117,1.57845,0.672974,0.586694,-0.851118,1.69747,0.698704
0.377129,0.771003,1.58185,0.680099,0.587027,-0.844613,1.69942,0.70251
0.379862,0.774799,1.59576,0.682733,0.586455,-0.829254,1.71137,0.712418
0.377588,0.78511,1.57442,0.6816,0.595358,-0.838572,1.71875,0.716256
0.383512,0.779708,1.58487,0.674261,0.600268,-0.821652,1.71559,0.722436
0.383512,0.779708,1.58487,0.674261,0.600268,-0.821652,1.71559,0.722436
0.381511,0.780431,1.59077,0.661803,0.596246,-0.825916,1.71598,0.708433
0.379005,0.760016,1.58801,0.685508,0.596741,-0.819935,1.70325,0.699513
0.381983,0.76239,1.59263,0.680512,0.593719,-0.821457,1.69798,0.696871
0.372284,0.766601,1.582,0.673354,0.591706,-0.841334,1.69042,0.701662
0.376475,0.764227,1.58893,0.662036,0.584883,-0.820536,1.68866,0.702646
0.360099,0.733294,1.59784,0.652459,0.57873,-0.794488,1.69763,0.693233
0.357627,0.744252,1.60296,0.651058,0.581258,-0.801885,1.70012,0.705903
0.360307,0.75873,1.60267,0.657351,0.590196,-0.816799,1.68772,0.696855
0.347084,0.747598,1.62486,0.664696,0.595707,-0.804263,1.68235,0.692146
0.352327,0.733707,1.62034,0.668756,0.578929,-0.804321,1.68153,0.694987
0.361041,0.729767,1.62006,0.668358,0.574379,-0.800324,1.67277,0.685773
0.364895,0.736098,1.62051,0.684389,0.578874,-0.796875,1.66409,0.703823
0.339882,0.74242,1.61421,0.676947,0.57663,-0.801218,1.67774,0.689011
0.350997,0.748391,1.61306,0.690019,0.570619,-0.810808,1.67866,0.69969
0.350886,0.740812,1.6107,0.687491,0.583305,-0.794723,1.67238,0.692607
0.358999,0.732902,1.62244,0.689707,0.566611,-0.800556,1.67278,0.705222
0.35887,0.732006,1.62939,0.688091,0.559091,-0.794444,1.67367,0.702272
0.386881,0.742078,1.6254,0.68072,0.564111,-0.774948,1.66738,0.694235
0.38661,0.747937,1.61926,0.685363,0.575288,-0.771721,1.67021,0.69306
0.374037,0.746922,1.63103,0.6719,0.588785,-0.795293,1.6753,0.702553
0.374936,0.741888,1.6286,0.668539,0.584394,-0.785273,1.67619,0.697163
0.375495,0.751422,1.65198,0.674483,0.577265,-0.778099,1.66505,0.690138
0.382259,0.751209,1.63358,0.674392,0.59085,-0.787194,1.66945,0.67939
0.388313,0.763478,1.62674,0.665715,0.593495,-0.791087,1.66779,0.678715
0.387564,0.760627,1.62853,0.657737,0.591892,-0.789897,1.68318,0.699147
0.385686,0.758985,1.61407,0.651345,0.580409,-0.782975,1.68472,0.695893
0.378736,0.739559,1.61149,0.666561,0.599593,-0.781436,1.69696,0.69919
0.383795,0.753416,1.61048,0.676544,0.601922,-0.786175,1.69852,0.708678
0.387249,0.755297,1.62255,0.66823,0.603965,-0.778841,1.70439,0.709713
0.389339,0.746289,1.60936,0.662734,0.608093,-0.776701,1.70849,0.703337
0.389254,0.749886,1.61879,0.659827,0.616104,-0.781682,1.70981,0.711828
0.392016,0.768385,1.61432,0.663606,0.599765,-0.775605,1.70697,0.712383
0.387412,0.76874,1.61964,0.656806,0.605402,-0.779068,1.7105,0.730377
0.395868,0.785728,1.62183,0.674705,0.607787,-0.784434,1.70664,0.719338
0.392268,0.784617,1.63528,0.674584,0.605934,-0.778205,1.70965,0.720407
0.400602,0.784121,1.6233,0.677232,0.608711,-0.782178,1.71487,0.720458
0.400602,0.784121,1.6233,0.677232,0.608711,-0.782178,1.71487,0.720458
0.398876,0.760855,1.61351,0.667212,0.61774,-0.76814,1.72257,0.71839
0.398332,0.762726,1.61141,0.674781,0.616178,-0.777466,1.71661,0.713932
0.396903,0.764808,1.60111,0.675774,0.616144,-0.7726,1.70552,0.710887
0.395607,0.761248,1.6038,0.685745,0.601387,-0.771222,1.69968,0.704489
0.374015,0.773081,1.62001,0.694972,0.606182,-0.788731,1.6944,0.703086
0.376724,0.759165,1.60096,0.716011,0.61327,-0.799522,1.70216,0.716712
0.372969,0.779372,1.60157,0.707879,0.614054,-0.813311,1.69211,0.699991
0.380832,0.774886,1.59449,0.706786,0.606468,-0.805247,1.68745,0.695678
0.384543,0.778917,1.6,0.708825,0.611145,-0.803961,1.68732,0.69532
0.387572,0.778077,1.59921,0.712797,0.601976,-0.808905,1.68497,0.696341
0.388648,0.770261,1.5974,0.688759,0.617333,-0.792458,1.69525,0.689716
0.385325,0.77704,1.59847,0.692709,0.620326,-0.78819,1.70379,0.691558
0.387108,0.753618,1.61972,0.685369,0.612812,-0.782343,1.70847,0.714428
0.384469,0.742638,1.62849,0.687503,0.620542,-0.761392,1.72065,0.71296
0.382822,0.744083,1.6235,0.687528,0.619283,-0.758966,1.72371,0.718767
0.374965,0.735141,1.60857,0.676729,0.597477,-0.751922,1.71098,0.716659
0.364557,0.744451,1.61261,0.668223,0.601646,-0.743313,1.71374,0.716995
0.375239,0.735834,1.62758,0.664666,0.603489,-0.745415,1.71136,0.720957
0.36736,0.739895,1.63177,0.681918,0.61794,-0.747561,1.71133,0.718625
0.354623,0.746194,1.61874,0.682714,0.613738,-0.741702,1.70357,0.715642
0.366717,0.751287,1.60242,0.681805,0.624709,-0.737436,1.70121,0.708511
0.366717,0.751287,1.60242,0.681805,0.624709,-0.737436,1.70121,0.708511
0.359552,0.747686,1.59613,0.690621,0.620656,-0.746816,1.70612,0.708826
0.368704,0.726325,1.59549,0.701732,0.608016,-0.771398,1.71135,0.717533
0.340892,0.72381,1.59994,0.696365,0.601677,-0.721086,1.71199,0.724495
0.340892,0.72381,1.59994,0.696365,0.601677,-0.721086,1.71199,0.724495
0.340892,0.72381,1.59994,0.696365,0.601677,-0.721086,1.71199,0.724495
0.342822,0.716846,1.59006,0.701568,0.614251,-0.712855,1.7138,0.716273
0.346232,0.71414,1.59689,0.705018,0.618663,-0.701932,1.71541,0.719493
0.336652,0.723648,1.60705,0.704409,0.62301,-0.704822,1.71548,0.716266
0.354544,0.728886,1.59711,0.703155,0.629837,-0.718275,1.70879,0.7093
0.362963,0.739334,1.59512,0.697918,0.644129,-0.731719,1.71909,0.694838
0.364512,0.734401,1.5813,0.700532,0.632047,-0.720712,1.7153,0.716058
0.358927,0.731124,1.5781,0.694389,0.609136,-0.732238,1.72795,0.724582
0.346242,0.713042,1.58647,0.687218,0.613657,-0.72408,1.72293,0.728345
0.336576,0.696856,1.59849,0.68502,0.608654,-0.722758,1.71774,0.720025
0.331734,0.705102,1.59014,0.6792,0.611403,-0.713435,1.7307,0.726586
0.332052,0.716411,1.59267,0.6745,0.596444,-0.717164,1.7382,0.725713
0.331665,0.715669,1.60418,0.668624,0.588174,-0.722783,1.71975,0.729077
0.336066,0.710754,1.60289,0.673302,0.57623,-0.72384,1.71862,0.722462
0.322903,0.698104,1.60639,0.677592,0.576859,-0.726186,1.70654,0.719089
0.324836,0.687041,1.59973,0.673677,0.572748,-0.726967,1.69639,0.713328
0.324193,0.689474,1.6023,0.66135,0.578848,-0.734026,1.70237,0.716447
0.33723,0.714444,1.58033,0.647663,0.574642,-0.730299,1.69257,0.699512
0.348164,0.731649,1.58754,0.662571,0.585986,-0.727273,1.70435,0.704256
0.349077,0.728926,1.58647,0.647816,0.596861,-0.73277,1.71567,0.710513
0.341584,0.729267,1.57249,0.664303,0.586822,-0.732473,1.72809,0.715761
0.351175,0.729098,1.56801,0.653165,0.580458,-0.741393,1.722,0.737502
0.354163,0.73484,1.56019,0.655108,0.586771,-0.73512,1.72268,0.717212
0.345302,0.719842,1.57083,0.656431,0.5913,-0.736018,1.72256,0.718247
0.342834,0.724142,1.57883,0.65873,0.599546,-0.725372,1.71546,0.722377
0.337144,0.725508,1.55455,0.6421,0.583375,-0.7371,1.71575,0.717369
0.349358,0.720779,1.54398,0.648807,0.581719,-0.740205,1.72471,0.724608
0.33444,0.724543,1.54216,0.664023,0.58643,-0.76399,1.72771,0.71921
0.326708,0.717737,1.54018,0.665634,0.577216,-0.778348,1.72866,0.728446
0.322877,0.726638,1.54849,0.662742,0.569597,-0.783672,1.72841,0.736188
0.309936,0.728097,1.54078,0.651791,0.568218,-0.782665,1.72637,0.730119
0.311366,0.719954,1.53818,0.643027,0.566281,-0.780435,1.72769,0.728912
0.305739,0.717493,1.53204,0.652395,0.575013,-0.78025,1.72553,0.726863
0.33816,0.736765,1.54168,0.649467,0.582928,-0.779662,1.72374,0.718399
0.343011,0.743573,1.54397,0.649935,0.589764,-0.77896,1.7269,0.71054
0.33958,0.75027,1.5374,0.652642,0.60499,-0.786908,1.73004,0.714007
0.334367,0.744912,1.52741,0.655032,0.603333,-0.783438,1.73621,0.719278
