'InvCoshPar_uu_width','InvCoshPar_uu_g0','InvCoshPar_uu_g1','InvCoshPar_ud_width','InvCoshPar_ud_g0','InvCoshPar_ud_g1','InvCoshPar_us_width','InvCoshPar_us_g0','InvCoshPar_us_g1','InvCoshPar_ss_width','InvCoshPar_ss_g0','InvCoshPar_ss_g1'
1.84899,-0.298825,-0.964821,0.487671,0.845577,-0.689865,1.37084,0.27891,-0.278272,1.2142,0.788505,0.396339
1.84802,-0.298068,-0.963955,0.484179,0.852481,-0.693633,1.37257,0.273088,-0.28613,1.21469,0.789162,0.397641
1.84009,-0.2978,-0.965779,0.47872,0.866555,-0.695012,1.3595,0.273344,-0.292433,1.21873,0.790763,0.402651
1.84223,-0.306291,-0.977917,0.482848,0.844927,-0.710404,1.36097,0.268987,-0.298213,1.22086,0.78881,0.401091
1.84223,-0.306291,-0.977917,0.482848,0.844927,-0.710404,1.36097,0.268987,-0.298213,1.22086,0.78881,0.401091
1.84223,-0.306291,-0.977917,0.482848,0.844927,-0.710404,1.36097,0.268987,-0.298213,1.22086,0.78881,0.401091
1.84991,-0.3023,-0.969776,0.479874,0.858034,-0.702997,1.35752,0.263545,-0.308161,1.22225,0.785625,0.397199
1.86162,-0.300809,-0.964292,0.480244,0.853812,-0.707798,1.3448,0.286015,-0.281104,1.22432,0.784067,0.396182
1.86157,-0.297012,-0.95861,0.479127,0.855738,-0.709545,1.34068,0.281764,-0.289666,1.21713,0.791619,0.402905
1.86515,-0.305349,-0.970132,0.462484,0.910055,-0.69979,1.33186,0.300151,-0.266798,1.20918,0.790134,0.395519
1.86348,-0.30662,-0.972498,0.469012,0.895333,-0.693135,1.32875,0.298761,-0.27056,1.20176,0.793646,0.395911
1.86348,-0.30662,-0.972498,0.469012,0.895333,-0.693135,1.32875,0.298761,-0.27056,1.20176,0.793646,0.395911
1.86348,-0.30662,-0.972498,0.469012,0.895333,-0.693135,1.32875,0.298761,-0.27056,1.20176,0.793646,0.395911
1.86123,-0.303381,-0.968257,0.46881,0.887821,-0.705279,1.34023,0.289741,-0.277934,1.19628,0.792326,0.39029
1.86706,-0.301151,-0.963311,0.469882,0.890755,-0.696229,1.33826,0.279175,-0.294836,1.21395,0.785719,0.392
1.85562,-0.302186,-0.968017,0.477736,0.846252,-0.729578,1.33312,0.280142,-0.296134,1.19832,0.790002,0.388163
1.8518,-0.293781,-0.95647,0.481814,0.836242,-0.727676,1.3488,0.280558,-0.287183,1.19843,0.792026,0.391273
1.86393,-0.298104,-0.959598,0.486965,0.82855,-0.718247,1.34498,0.282443,-0.286367,1.19866,0.794499,0.395134
1.86393,-0.298104,-0.959598,0.486965,0.82855,-0.718247,1.34498,0.282443,-0.286367,1.19866,0.794499,0.395134
1.86768,-0.294901,-0.953764,0.48553,0.834284,-0.715441,1.33762,0.290818,-0.27771,1.19918,0.792256,0.392118
1.85353,-0.294342,-0.95683,0.478684,0.845046,-0.72743,1.33565,0.300557,-0.264153,1.19618,0.798078,0.398854
1.85146,-0.296478,-0.96061,0.477861,0.845636,-0.729982,1.33118,0.31269,-0.248355,1.19657,0.796312,0.396461
1.86105,-0.298765,-0.961381,0.478462,0.842671,-0.731917,1.32064,0.31015,-0.25789,1.20488,0.796025,0.401533
1.85567,-0.299296,-0.963667,0.470885,0.865569,-0.729686,1.31955,0.312226,-0.255369,1.20364,0.795691,0.400216
1.85567,-0.299296,-0.963667,0.470885,0.865569,-0.729686,1.31955,0.312226,-0.255369,1.20364,0.795691,0.400216
