'InvCoshPar_uu_width','InvCoshPar_uu_g0','InvCoshPar_uu_g1','InvCoshPar_ud_width','InvCoshPar_ud_g0','InvCoshPar_ud_g1','InvCoshPar_us_width','InvCoshPar_us_g0','InvCoshPar_us_g1','InvCoshPar_ss_width','InvCoshPar_ss_g0','InvCoshPar_ss_g1'
0.920521,0.00149177,0.0175897,0.204037,0.156699,0.155067,0.668863,0.0843973,0.360864,0.586421,0.161895,0.698169
0.920009,0.00161535,0.0180223,0.202199,0.157703,0.153184,0.669771,0.0835492,0.356935,0.586677,0.161993,0.69882
0.915839,0.00165904,0.0171106,0.199326,0.15975,0.152494,0.662895,0.0835865,0.353784,0.588805,0.162233,0.701326
0.916961,0.000274341,0.0110413,0.201499,0.156605,0.144798,0.663666,0.0829517,0.350894,0.589928,0.161941,0.700546
0.916961,0.000274341,0.0110413,0.201499,0.156605,0.144798,0.663666,0.0829517,0.350894,0.589928,0.161941,0.700546
0.916961,0.000274341,0.0110413,0.201499,0.156605,0.144798,0.663666,0.0829517,0.350894,0.589928,0.161941,0.700546
0.921004,0.000925249,0.015112,0.199934,0.158511,0.148501,0.66185,0.0821589,0.34592,0.590657,0.161464,0.698599
0.927167,0.00116835,0.0178538,0.200128,0.157897,0.146101,0.655158,0.0854324,0.359448,0.591747,0.161231,0.698091
0.927141,0.00178747,0.020695,0.199541,0.158177,0.145228,0.652987,0.0848131,0.355167,0.587964,0.162361,0.701453
0.929027,0.000427931,0.014934,0.190781,0.166076,0.150105,0.648347,0.0874917,0.366601,0.58378,0.162139,0.69776
0.928145,0.000220797,0.0137509,0.194217,0.163935,0.153433,0.646711,0.0872893,0.36472,0.579874,0.162664,0.697955
0.928145,0.000220797,0.0137509,0.194217,0.163935,0.153433,0.646711,0.0872893,0.36472,0.579874,0.162664,0.697955
0.928145,0.000220797,0.0137509,0.194217,0.163935,0.153433,0.646711,0.0872893,0.36472,0.579874,0.162664,0.697955
0.926964,0.000748983,0.0158715,0.194111,0.162843,0.14736,0.652754,0.0859752,0.361033,0.576991,0.162466,0.695145
0.930031,0.00111251,0.0183447,0.194675,0.163269,0.151886,0.651715,0.084436,0.352582,0.586291,0.161478,0.696
0.924009,0.0009438,0.0159914,0.198809,0.156797,0.135211,0.649013,0.0845768,0.351933,0.578064,0.162119,0.694081
0.921999,0.00231431,0.0217649,0.200955,0.155341,0.136162,0.657265,0.0846374,0.356409,0.578122,0.162422,0.695637
0.928385,0.00160942,0.0202012,0.203666,0.154223,0.140876,0.655252,0.0849121,0.356816,0.578242,0.162792,0.697567
0.928385,0.00160942,0.0202012,0.203666,0.154223,0.140876,0.655252,0.0849121,0.356816,0.578242,0.162792,0.697567
0.930358,0.00213175,0.023118,0.202911,0.155057,0.142279,0.651379,0.0861321,0.361145,0.578518,0.162456,0.696059
0.922911,0.0022228,0.021585,0.199307,0.156622,0.136285,0.650341,0.087551,0.367923,0.576939,0.163327,0.699427
0.921822,0.00187449,0.0196951,0.198874,0.156708,0.135009,0.647987,0.0893185,0.375823,0.577141,0.163063,0.698231
0.92687,0.0015017,0.0193094,0.199191,0.156277,0.134042,0.64244,0.0889485,0.371055,0.581513,0.16302,0.700767
0.924036,0.00141512,0.0181666,0.195203,0.159607,0.135157,0.641871,0.0892509,0.372316,0.580861,0.16297,0.700108
0.924036,0.00141512,0.0181666,0.195203,0.159607,0.135157,0.641871,0.0892509,0.372316,0.580861,0.16297,0.700108
0.924036,0.00141512,0.0181666,0.195203,0.159607,0.135157,0.641871,0.0892509,0.372316,0.580861,0.16297,0.700108
0.923427,0.000800222,0.0151775,0.192116,0.162853,0.139115,0.637639,0.0889079,0.368331,0.579129,0.163048,0.699411
0.921203,0.000915672,0.0151207,0.18997,0.164609,0.139087,0.635646,0.0893015,0.369303,0.578755,0.163271,0.700295
0.927033,0.000409103,0.0143263,0.194177,0.160799,0.137094,0.639961,0.0887317,0.368644,0.576056,0.163864,0.701559
0.927033,0.000409103,0.0143263,0.194177,0.160799,0.137094,0.639961,0.0887317,0.368644,0.576056,0.163864,0.701559
0.922128,0.00192899,0.0200267,0.195011,0.159594,0.134308,0.64715,0.0871604,0.364282,0.575254,0.162699,0.695209
0.924718,0.00156505,0.0190358,0.200958,0.153816,0.128307,0.647492,0.0887199,0.372487,0.57802,0.162908,0.698012
