# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.305632 -----------------
#dely    BF
0.050  0.5372  0.0007
0.150  0.4979  0.0007
0.250  0.4372  0.0006
0.350  0.3779  0.0005
0.450  0.3161  0.0005
0.550  0.2514  0.0004
0.650  0.1986  0.0003
0.750  0.1501  0.0003
0.850  0.1077  0.0002
0.950  0.0757  0.0002
1.050  0.0478  0.0001
1.150  0.0308  0.0001
1.250  0.0163  0.0001
1.350  0.0080  0.0000
1.450  0.0032  0.0000
1.550  0.0009  0.0000
1.650 -0.0003 -0.0000
1.750 -0.0000 -0.0000
