# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.099219 -----------------
#dely    BF
0.050 -0.0973 -0.0001
0.150 -0.0920 -0.0001
0.250 -0.0862 -0.0001
0.350 -0.0839 -0.0001
0.450 -0.0807 -0.0001
0.550 -0.0753 -0.0001
0.650 -0.0696 -0.0001
0.750 -0.0677 -0.0001
0.850 -0.0611 -0.0001
0.950 -0.0572 -0.0001
1.050 -0.0515 -0.0001
1.150 -0.0455 -0.0001
1.250 -0.0388 -0.0001
1.350 -0.0314 -0.0001
1.450 -0.0240 -0.0001
1.550 -0.0173 -0.0001
1.650 -0.0096 -0.0001
1.750 -0.0032 -0.0000
