# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.293902 -----------------
#dely    BF
0.050  0.5298  0.0005
0.150  0.4820  0.0005
0.250  0.4260  0.0004
0.350  0.3669  0.0004
0.450  0.2985  0.0003
0.550  0.2404  0.0003
0.650  0.1823  0.0002
0.750  0.1369  0.0002
0.850  0.1006  0.0002
0.950  0.0718  0.0001
1.050  0.0459  0.0001
1.150  0.0280  0.0001
1.250  0.0173  0.0000
1.350  0.0083  0.0000
1.450  0.0033  0.0000
1.550  0.0012  0.0000
1.650  0.0000  0.0000
1.750 -0.0001 -0.0000
