# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0879747 -----------------
#dely    BF
0.050 -0.1064 -0.0001
0.150 -0.1031 -0.0001
0.250 -0.0976 -0.0001
0.350 -0.0882 -0.0001
0.450 -0.0764 -0.0001
0.550 -0.0689 -0.0001
0.650 -0.0623 -0.0001
0.750 -0.0551 -0.0001
0.850 -0.0497 -0.0001
0.950 -0.0437 -0.0001
1.050 -0.0372 -0.0001
1.150 -0.0295 -0.0001
1.250 -0.0242 -0.0001
1.350 -0.0174 -0.0001
1.450 -0.0113 -0.0001
1.550 -0.0064 -0.0000
1.650 -0.0022 -0.0000
1.750 -0.0002 -0.0000
