# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0805539 -----------------
#dely    BF
0.050 -0.0792 -0.0001
0.150 -0.0732 -0.0001
0.250 -0.0731 -0.0001
0.350 -0.0670 -0.0001
0.450 -0.0628 -0.0001
0.550 -0.0601 -0.0001
0.650 -0.0545 -0.0001
0.750 -0.0532 -0.0001
0.850 -0.0494 -0.0001
0.950 -0.0478 -0.0001
1.050 -0.0431 -0.0001
1.150 -0.0379 -0.0001
1.250 -0.0323 -0.0001
1.350 -0.0273 -0.0001
1.450 -0.0198 -0.0001
1.550 -0.0138 -0.0001
1.650 -0.0083 -0.0000
1.750 -0.0027 -0.0000
