# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.00107565 -----------------
#dely    BF
0.050 -0.0175 -0.0001
0.150 -0.0154 -0.0001
0.250 -0.0110 -0.0001
0.350 -0.0047 -0.0000
0.450 -0.0015 -0.0000
0.550  0.0025  0.0000
0.650  0.0048  0.0000
0.750  0.0066  0.0001
0.850  0.0070  0.0001
0.950  0.0061  0.0001
1.050  0.0050  0.0001
1.150  0.0035  0.0001
1.250  0.0021  0.0001
1.350  0.0012  0.0000
1.450  0.0005  0.0000
1.550  0.0001  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
