# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.316851 -----------------
#dely    BF
0.050  0.5665  0.0007
0.150  0.5274  0.0006
0.250  0.4590  0.0006
0.350  0.3877  0.0005
0.450  0.3247  0.0005
0.550  0.2602  0.0004
0.650  0.1974  0.0003
0.750  0.1533  0.0003
0.850  0.1106  0.0002
0.950  0.0743  0.0002
1.050  0.0474  0.0001
1.150  0.0314  0.0001
1.250  0.0176  0.0001
1.350  0.0082  0.0000
1.450  0.0031  0.0000
1.550  0.0001  0.0000
1.650 -0.0005 -0.0000
1.750 -0.0001 -0.0000
