# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.2614 -----------------
#dely    BF
0.050  0.4508  0.0004
0.150  0.4105  0.0004
0.250  0.3672  0.0004
0.350  0.3246  0.0003
0.450  0.2722  0.0003
0.550  0.2227  0.0003
0.650  0.1723  0.0002
0.750  0.1363  0.0002
0.850  0.0985  0.0002
0.950  0.0707  0.0001
1.050  0.0455  0.0001
1.150  0.0280  0.0001
1.250  0.0139  0.0000
1.350  0.0054  0.0000
1.450  0.0004  0.0000
1.550 -0.0023 -0.0000
1.650 -0.0020 -0.0000
1.750 -0.0008 -0.0000
