# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.2585 -----------------
#dely    BF
0.050  0.4874  0.0006
0.150  0.4428  0.0005
0.250  0.3925  0.0005
0.350  0.3241  0.0004
0.450  0.2705  0.0004
0.550  0.2143  0.0003
0.650  0.1634  0.0003
0.750  0.1183  0.0002
0.850  0.0781  0.0002
0.950  0.0504  0.0001
1.050  0.0302  0.0001
1.150  0.0133  0.0000
1.250  0.0059  0.0000
1.350 -0.0001 -0.0000
1.450 -0.0022 -0.0000
1.550 -0.0023 -0.0000
1.650 -0.0014 -0.0000
1.750 -0.0001 -0.0000
