# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.108572 -----------------
#dely    BF
0.050 -0.1349 -0.0002
0.150 -0.1258 -0.0002
0.250 -0.1186 -0.0002
0.350 -0.1107 -0.0002
0.450 -0.0956 -0.0001
0.550 -0.0845 -0.0001
0.650 -0.0737 -0.0001
0.750 -0.0649 -0.0001
0.850 -0.0588 -0.0001
0.950 -0.0507 -0.0001
1.050 -0.0442 -0.0001
1.150 -0.0391 -0.0001
1.250 -0.0302 -0.0001
1.350 -0.0236 -0.0001
1.450 -0.0168 -0.0001
1.550 -0.0097 -0.0001
1.650 -0.0036 -0.0000
1.750 -0.0003 -0.0000
