'uu_width','ud_width','us_width','ss_width'
0.721237, 0.758752, 0.953601, 0.922627
0.73705, 0.761044, 0.977039, 0.865231
0.616695, 0.677202, 0.990322, 0.892267
0.704505, 0.646387, 0.887588, 0.904579
0.623985, 0.634622, 0.807334, 0.961397
0.599254, 0.62611, 0.853448, 0.846645
0.67604, 0.653486, 0.834079, 0.914958
0.775642, 0.583732, 0.890406, 1.01864
0.796341, 0.400011, 0.940719, 0.940449
0.833563, 0.272111, 1.02858, 0.9483
0.839758, 0.3789, 1.07355, 0.919891
0.820807, 0.498929, 1.15324, 0.988872
0.832397, 0.494942, 1.10043, 0.903338
0.858926, 0.576727, 1.01666, 0.968771
0.7274, 0.516341, 0.988991, 0.923713
0.682668, 0.507665, 1.02273, 0.92923
0.639907, 0.563195, 1.03367, 0.855629
0.594384, 0.601994, 0.976995, 0.802315
0.672375, 0.64731, 1.0086, 0.818867
0.651439, 0.617113, 0.974895, 0.783038
0.752685, 0.527778, 1.01266, 0.882264
0.690392, 0.610599, 0.963345, 0.92711
0.728381, 0.629126, 0.882155, 0.869895
0.670727, 0.552352, 0.882004, 0.862684
0.771701, 0.504505, 0.941402, 0.967173
0.710226, 0.489967, 1.01856, 1.02125
0.699074, 0.477705, 0.82114, 0.867695
0.688886, 0.357946, 0.888345, 0.850964
0.718474, 0.30276, 1.00961, 0.840709
0.652051, 0.415898, 0.974814, 0.842497
0.652051, 0.415898, 0.974814, 0.842497
0.723416, 0.375605, 0.984784, 0.799876
0.707325, 0.415501, 0.860906, 0.847393
0.703966, 0.416062, 0.852293, 0.809866
0.735324, 0.548119, 0.984792, 0.943938
0.778121, 0.602528, 0.904018, 0.984599
0.693004, 0.544092, 0.948607, 0.959825
0.759501, 0.496215, 0.979391, 0.903221
0.662466, 0.426384, 0.959675, 0.87882
0.692092, 0.26568, 0.910831, 0.908372
0.713039, 0.259371, 0.888594, 0.904579
0.705686, 0.28159, 0.891399, 0.923678
0.803894, 0.380249, 0.942546, 1.00357
0.822731, 0.292379, 0.899858, 0.924482
0.740783, 0.408592, 0.894275, 0.941283
0.740783, 0.408592, 0.894275, 0.941283
0.740783, 0.408592, 0.894275, 0.941283
0.668229, 0.587957, 0.912048, 0.889422
0.694973, 0.607246, 0.888452, 0.939066
0.641877, 0.775912, 0.862959, 1.01431
0.572868, 0.756233, 0.94926, 0.950258
0.636657, 0.681869, 0.862981, 0.946062
0.628665, 0.72278, 1.03543, 0.909463
0.746803, 0.807495, 0.991507, 0.826718
0.843257, 0.748984, 0.984535, 0.896073
0.827808, 0.820299, 1.08284, 0.928189
0.784566, 0.745712, 1.09619, 0.948645
0.719055, 0.791023, 1.06233, 0.843955
0.834588, 0.781156, 1.07136, 0.939238
0.799449, 0.689366, 1.0182, 0.833052
0.802031, 0.620183, 1.09248, 0.807245
0.677401, 0.721951, 0.974822, 0.777763
0.658422, 0.722131, 1.03427, 0.731929
0.620256, 0.816189, 1.00106, 0.772238
0.662401, 0.937638, 0.870436, 0.893367
0.621646, 0.851484, 0.886651, 0.992557
0.575544, 0.875887, 1.01046, 0.979054
0.559788, 0.881718, 1.00162, 0.929548
0.549796, 0.916101, 0.972771, 0.893536
0.689407, 0.891261, 0.986011, 0.923658
0.553794, 0.806015, 0.910254, 0.986129
0.550391, 0.731351, 0.840313, 0.939252
0.508034, 0.819571, 0.837453, 0.928479
0.574119, 0.88954, 0.859115, 0.958109
0.641249, 0.8406, 0.885249, 0.926576
0.623763, 0.838691, 0.838085, 0.960153
0.575937, 0.849949, 0.861382, 0.934145
0.648492, 0.716798, 0.829361, 0.94747
0.585743, 0.806153, 0.837679, 0.876333
0.712262, 0.848203, 0.990292, 0.909946
0.71597, 0.900563, 1.01462, 0.895332
0.577498, 0.907433, 1.0047, 0.870092
0.66344, 0.935604, 0.872589, 1.07527
0.658674, 0.944176, 0.862566, 1.09468
0.666171, 1.01228, 0.900364, 0.936277
0.682598, 1.11374, 1.01262, 0.850167
0.661653, 1.21051, 0.955724, 1.02344
0.582713, 1.25795, 0.975989, 1.09852
0.582713, 1.25795, 0.975989, 1.09852
0.632265, 1.23297, 0.963538, 0.970857
0.626612, 1.17909, 0.996714, 1.04658
0.583679, 1.18173, 1.08637, 0.904317
0.600371, 1.20929, 0.992988, 0.877662
0.579567, 1.02474, 1.10578, 0.800596
0.476906, 1.14209, 1.0255, 0.946812
0.636522, 0.962183, 0.943624, 0.730165
0.614853, 0.91186, 0.947324, 0.856222
0.596463, 0.985292, 0.941068, 0.94495
0.559176, 1.06837, 0.92745, 0.923706
0.559176, 1.06837, 0.92745, 0.923706
0.4982, 0.936996, 0.949365, 0.904491
0.5266, 0.947979, 0.843789, 1.01024
0.672231, 0.772092, 0.861299, 1.05081
0.591182, 0.893652, 0.85996, 1.00016
0.587873, 0.802603, 0.896362, 0.983469
0.503569, 0.786103, 0.814677, 0.97014
0.601036, 0.969405, 0.849301, 1.1057
0.589051, 0.966538, 0.93774, 0.948035
0.604211, 0.875122, 0.986954, 0.981174
0.58701, 1.09842, 0.926489, 1.01779
0.58701, 1.09842, 0.926489, 1.01779
0.634021, 1.0737, 1.01231, 0.855832
0.628316, 0.960863, 0.98655, 0.935996
0.639372, 0.956056, 0.940888, 0.945294
0.552705, 1.00057, 0.924539, 0.970316
0.593037, 0.903115, 0.833593, 0.986675
0.573082, 0.940916, 0.853539, 1.0422
0.555191, 1.06463, 0.926177, 0.980429
0.568138, 0.923392, 0.861219, 0.986899
0.621621, 0.885296, 0.986367, 0.886313
0.765629, 0.789809, 1.03904, 0.898747
0.755241, 0.614505, 0.981919, 0.842485
0.701675, 0.629264, 0.928789, 0.913234
0.724464, 0.548658, 0.906748, 0.957463
0.584069, 0.615442, 0.810949, 0.894538
0.619673, 0.660635, 0.859533, 0.809698
0.586706, 0.684209, 0.84044, 0.928249
0.562021, 0.72988, 0.842701, 0.929838
0.647413, 0.613371, 0.780526, 0.932753
0.637502, 0.551929, 0.901629, 0.923193
0.649169, 0.567827, 0.961084, 0.91831
0.737932, 0.525419, 1.07797, 0.819995
0.736349, 0.509704, 1.07823, 0.838229
0.693661, 0.545793, 1.01054, 0.818205
0.641028, 0.471413, 0.958603, 0.797712
0.708411, 0.48246, 1.02112, 0.910516
0.680797, 0.470094, 0.920951, 0.924685
0.658586, 0.390287, 0.984039, 0.940658
0.646159, 0.390093, 0.834977, 0.910754
0.646159, 0.390093, 0.834977, 0.910754
0.765376, 0.455507, 0.864371, 0.883792
0.755233, 0.428311, 0.856533, 0.887359
0.792565, 0.325242, 1.03995, 0.988221
0.775231, 0.354287, 0.984288, 0.946441
0.804899, 0.378925, 0.996429, 1.00561
0.831556, 0.534409, 1.11719, 1.01961
0.715949, 0.55224, 1.05478, 0.835041
0.767642, 0.578944, 1.03952, 0.904124
0.654751, 0.647475, 1.00323, 0.855253
0.650537, 0.714356, 1.01364, 0.877488
0.682747, 0.62035, 0.887109, 0.81279
0.662406, 0.5374, 0.929401, 0.911131
0.759626, 0.414751, 0.961809, 0.864843
0.751224, 0.459601, 0.928522, 0.861397
0.732409, 0.470992, 0.940703, 0.921997
0.766263, 0.45567, 0.944998, 0.984215
0.79161, 0.392542, 0.993455, 1.00364
0.834968, 0.242038, 1.10221, 0.890468
0.871019, 0.172829, 1.23373, 0.850986
0.882743, 0.208344, 1.25837, 0.914303
0.966279, 0.216421, 1.34699, 0.942055
0.908828, 0.126168, 1.22036, 1.02852
0.877621, 0.112159, 1.11082, 1.05508
0.89, 0.121276, 1.09612, 1.03201
0.91458, 0.193092, 1.11079, 0.997806
0.914593, 0.342146, 1.07816, 0.968278
0.857332, 0.362263, 1.01897, 1.02719
0.843157, 0.276177, 1.0338, 1.04554
0.815299, 0.205853, 1.107, 0.993955
0.632017, 0.418154, 0.938301, 0.866331
0.658841, 0.406782, 0.919112, 0.897692
0.730717, 0.4116, 1.04472, 0.879286
0.766263, 0.373407, 1.02345, 0.88291
0.811371, 0.330106, 1.01002, 0.956827
0.823992, 0.304167, 1.05584, 1.04161
0.86385, 0.264925, 1.09718, 1.01376
0.914164, 0.176386, 1.10544, 0.943008
0.794634, 0.208791, 1.12558, 0.970973
0.78011, 0.259919, 1.03881, 1.0151
0.746597, 0.229375, 1.0929, 0.942963
0.74677, 0.197033, 1.06202, 0.889803
0.771141, 0.16136, 1.073, 0.925362
0.748671, 0.148501, 0.957424, 0.888661
0.784046, 0.133209, 0.886378, 0.922683
0.757624, 0.124883, 0.933933, 0.885234
0.757624, 0.124883, 0.933933, 0.885234
0.809009, 0.204554, 0.944608, 0.89085
0.81968, 0.161772, 0.968463, 0.968047
0.747066, 0.258183, 1.01439, 1.05597
