# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0290737 -----------------
#dely    BF
0.050 -0.0204 -0.0000
0.150 -0.0210 -0.0000
0.250 -0.0216 -0.0000
0.350 -0.0211 -0.0000
0.450 -0.0157 -0.0000
0.550 -0.0174 -0.0000
0.650 -0.0211 -0.0000
0.750 -0.0203 -0.0000
0.850 -0.0189 -0.0000
0.950 -0.0188 -0.0000
1.050 -0.0218 -0.0000
1.150 -0.0201 -0.0000
1.250 -0.0160 -0.0000
1.350 -0.0123 -0.0000
1.450 -0.0114 -0.0000
1.550 -0.0071 -0.0000
1.650 -0.0046 -0.0000
1.750 -0.0012 -0.0000
