# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0972699 -----------------
#dely    BF
0.050  0.2536  0.0015
0.150  0.2318  0.0014
0.250  0.1795  0.0012
0.350  0.1323  0.0009
0.450  0.0842  0.0007
0.550  0.0456  0.0004
0.650  0.0265  0.0003
0.750  0.0123  0.0001
0.850  0.0051  0.0001
0.950  0.0010  0.0000
1.050  0.0006  0.0000
1.150  0.0001  0.0000
1.250 -0.0001 -0.0000
1.350  0.0001  0.0000
1.450  0.0001  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
