# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.270775 -----------------
#dely    BF
0.050  0.4913  0.0005
0.150  0.4528  0.0004
0.250  0.3946  0.0004
0.350  0.3420  0.0004
0.450  0.2800  0.0003
0.550  0.2240  0.0003
0.650  0.1698  0.0002
0.750  0.1280  0.0002
0.850  0.0901  0.0001
0.950  0.0626  0.0001
1.050  0.0390  0.0001
1.150  0.0212  0.0000
1.250  0.0123  0.0000
1.350  0.0041  0.0000
1.450 -0.0001 -0.0000
1.550 -0.0014 -0.0000
1.650 -0.0016 -0.0000
1.750 -0.0008 -0.0000
