# ICODE=321, JCODE=-321
# SIGMA_QGP=1, SIGMA_HAD=0.4
# NSAMPLE=100000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=1.4, QUARK_ENTROPY_RATIO=0.18, BARYON_FUDGE=0.666667
# ------- normalization=0.0515572 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.0667  0.0001  0.1172 -0.0563  0.0058
0.150  0.0650  0.0001  0.1121 -0.0526  0.0055
0.250  0.0613  0.0001  0.1030 -0.0467  0.0049
0.350  0.0568  0.0001  0.0921 -0.0397  0.0044
0.450  0.0532  0.0001  0.0813 -0.0319  0.0037
0.550  0.0470  0.0001  0.0687 -0.0249  0.0032
0.650  0.0413  0.0001  0.0571 -0.0185  0.0027
0.750  0.0353  0.0001  0.0462 -0.0130  0.0021
0.850  0.0287  0.0001  0.0359 -0.0087  0.0015
0.950  0.0224  0.0001  0.0267 -0.0055  0.0011
1.050  0.0164  0.0001  0.0189 -0.0032  0.0007
1.150  0.0108  0.0001  0.0121 -0.0016  0.0004
1.250  0.0063  0.0001  0.0069 -0.0007  0.0002
1.350  0.0030  0.0000  0.0032 -0.0002  0.0000
1.450  0.0011  0.0000  0.0011 -0.0001  0.0000
1.550  0.0002  0.0000  0.0003 -0.0000  0.0000
1.650  0.0000  0.0000  0.0000 -0.0000  0.0000
1.750  0.0000  0.0000  0.0000  0.0000  0.0000
