# SIGMA_QGP=1.0773, SIGMA_HAD=0.482523
# NSAMPLE=10000000, Tblast=88.2265, UPERPblast(x,y)=(0.76,0.76)
# SOVERUD=0.8372, QUARK_ENTROPY_RATIO=0.1796, BARYON_FUDGE=0.6353
# ------- normalization=0.233165 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.3250  0.0003  0.0606  0.0896  0.1747
0.150  0.3029  0.0002  0.0585  0.0834  0.1610
0.250  0.2761  0.0002  0.0530  0.0758  0.1473
0.350  0.2518  0.0002  0.0493  0.0682  0.1342
0.450  0.2241  0.0002  0.0448  0.0587  0.1206
0.550  0.1954  0.0002  0.0407  0.0505  0.1042
0.650  0.1682  0.0002  0.0356  0.0426  0.0900
0.750  0.1417  0.0002  0.0312  0.0347  0.0758
0.850  0.1176  0.0002  0.0280  0.0275  0.0621
0.950  0.0945  0.0001  0.0237  0.0215  0.0493
1.050  0.0731  0.0001  0.0192  0.0165  0.0375
1.150  0.0558  0.0001  0.0165  0.0118  0.0275
1.250  0.0402  0.0001  0.0126  0.0085  0.0191
1.350  0.0283  0.0001  0.0098  0.0058  0.0127
1.450  0.0182  0.0001  0.0065  0.0037  0.0079
1.550  0.0114  0.0000  0.0047  0.0022  0.0046
1.650  0.0056  0.0000  0.0024  0.0010  0.0022
1.750  0.0016  0.0000  0.0008  0.0003  0.0005
