# ICODE=2212, JCODE=-2212
# SIGMA_QGP=1.0266, SIGMA_HAD=0.566375
# NSAMPLE=10000000, Tblast=89.0947, UPERPblast(x,y)=(0.7476,0.7476)
# SOVERUD=0.8374, QUARK_ENTROPY_RATIO=0.2137, BARYON_FUDGE=0.6284
# ------- normalization=0.0690524 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.0831  0.0013  0.1936 -0.1106  0.0000
0.150  0.1087  0.0018  0.2032 -0.0945  0.0000
0.250  0.0720  0.0012  0.1618 -0.0897  0.0000
0.350  0.0814  0.0015  0.1508 -0.0694  0.0000
0.450  0.0778  0.0016  0.1365 -0.0586  0.0000
0.550  0.0679  0.0016  0.1115 -0.0436  0.0000
0.650  0.0508  0.0013  0.0850 -0.0342  0.0000
0.750  0.0487  0.0015  0.0699 -0.0213  0.0000
0.850  0.0347  0.0013  0.0497 -0.0151  0.0000
0.950  0.0268  0.0012  0.0348 -0.0081  0.0000
1.050  0.0168  0.0010  0.0222 -0.0053  0.0000
1.150  0.0132  0.0010  0.0154 -0.0022  0.0000
1.250  0.0066  0.0007  0.0074 -0.0009  0.0000
1.350  0.0019  0.0004  0.0021 -0.0002  0.0000
1.450  0.0001  0.0000  0.0003 -0.0002  0.0000
1.550  0.0000  0.0000  0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000  0.0000  0.0000
